Spectroscopic Data at 13.069 min.		
Wavelength (nm)	p-Intensity	s-Intensity
473	0.057609	0.439904
474	0.057736	0.439398
475	0.058104	0.439668
476	0.058186	0.439859
477	0.058259	0.440255
478	0.05855	0.440746
479	0.058814	0.440325
480	0.05902	0.440293
481	0.05924	0.440664
482	0.059391	0.440116
483	0.059548	0.439899
484	0.059765	0.440453
485	0.060209	0.4408
486	0.060428	0.441031
487	0.060691	0.441694
488	0.061044	0.442064
489	0.061278	0.442301
490	0.061435	0.442002
491	0.061635	0.441869
492	0.061802	0.441945
493	0.062149	0.441717
494	0.062388	0.441425
495	0.062878	0.442345
496	0.063332	0.442849
497	0.063542	0.443193
498	0.063845	0.443688
499	0.064334	0.443866
500	0.064614	0.444423
501	0.0649	0.44413
502	0.065106	0.444375
503	0.065565	0.444936
504	0.06588	0.444655
505	0.06617	0.444721
506	0.066617	0.445144
507	0.066925	0.445756
508	0.067362	0.446158
509	0.067522	0.446106
510	0.067791	0.446815
511	0.06822	0.447842
512	0.068799	0.448335
513	0.069199	0.448245
514	0.069348	0.448113
515	0.069844	0.448597
516	0.070407	0.449433
517	0.070545	0.44858
518	0.071233	0.448954
519	0.071687	0.449958
520	0.071867	0.450361
521	0.072285	0.450793
522	0.072927	0.451149
523	0.073547	0.452319
524	0.073824	0.452712
525	0.07419	0.452798
526	0.074726	0.453009
527	0.075158	0.45333
528	0.075611	0.454322
529	0.075922	0.454429
530	0.076474	0.454421
531	0.076939	0.455052
532	0.077397	0.455924
533	0.077848	0.456046
534	0.078431	0.456416
535	0.078835	0.456891
536	0.079416	0.457965
537	0.080147	0.459074
538	0.080503	0.459224
539	0.081002	0.45944
540	0.081587	0.460143
541	0.082158	0.460761
542	0.082558	0.461234
543	0.083037	0.461254
544	0.083417	0.461183
545	0.083957	0.462253
546	0.08457	0.463114
547	0.085088	0.463814
548	0.085779	0.464268
549	0.086116	0.464405
550	0.086845	0.46585
551	0.087261	0.466141
552	0.087729	0.466182
553	0.088504	0.467112
554	0.089141	0.468055
555	0.089713	0.468775
556	0.090143	0.469204
557	0.090654	0.469271
558	0.091263	0.469591
559	0.091954	0.470302
560	0.092505	0.471406
561	0.092987	0.472087
562	0.093518	0.472645
563	0.094097	0.472792
564	0.09488	0.473868
565	0.095726	0.475551
566	0.09633	0.47575
567	0.096708	0.476053
568	0.096941	0.476351
569	0.097783	0.477275
570	0.098644	0.478104
571	0.099202	0.478423
572	0.099783	0.479158
573	0.100326	0.47998
574	0.101034	0.480499
575	0.101742	0.481086
576	0.102652	0.482455
577	0.102834	0.482282
578	0.1033	0.482734
579	0.104281	0.483698
580	0.104994	0.484895
581	0.105541	0.48574
582	0.106175	0.48678
583	0.106773	0.486816
584	0.107362	0.487246
585	0.108353	0.488432
586	0.109279	0.48981
587	0.109589	0.490361
588	0.110108	0.490545
589	0.110866	0.491241
590	0.111804	0.492554
591	0.112742	0.493912
592	0.113009	0.493965
593	0.113705	0.494637
594	0.114251	0.494991
595	0.114851	0.495908
596	0.115696	0.497529
597	0.116748	0.498359
598	0.117121	0.498906
599	0.117623	0.498997
600	0.118742	0.499621
601	0.119423	0.501202
602	0.120135	0.502761
603	0.120961	0.503495
604	0.121588	0.503235
605	0.122307	0.503746
606	0.123013	0.50463
607	0.124048	0.506053
608	0.124665	0.507061
609	0.12538	0.508157
610	0.125986	0.508404
611	0.126537	0.508657
612	0.12739	0.509531
613	0.128341	0.510741
614	0.128899	0.51166
615	0.129728	0.513125
616	0.130561	0.514081
617	0.131122	0.513526
618	0.131634	0.51426
619	0.132179	0.514976
620	0.13319	0.515445
621	0.134042	0.516529
622	0.134469	0.517302
623	0.135691	0.518533
624	0.136683	0.520025
625	0.137438	0.520976
626	0.138135	0.521842
627	0.138768	0.522709
628	0.139377	0.522901
629	0.139969	0.523097
630	0.140426	0.523941
631	0.141437	0.525065
632	0.142282	0.525694
633	0.14306	0.526544
634	0.143659	0.527058
635	0.144573	0.528263
636	0.14541	0.529157
637	0.146371	0.530572
638	0.147143	0.531775
639	0.148009	0.532992
640	0.148711	0.533606
641	0.14942	0.534457
642	0.149863	0.534825
643	0.15066	0.535564
644	0.151885	0.537026
645	0.15271	0.537735
646	0.153354	0.538326
647	0.153687	0.538411
648	0.1547	0.53952
649	0.155369	0.54073
650	0.155987	0.541508
651	0.157051	0.542544
652	0.15769	0.542738
653	0.158349	0.542757
654	0.158988	0.543621
655	0.159384	0.544171
656	0.16054	0.545799
657	0.161697	0.547332
658	0.162185	0.548012
659	0.163006	0.548934
660	0.164074	0.550232
661	0.164528	0.550645
662	0.165101	0.551039
663	0.166283	0.552739
664	0.16724	0.554283
665	0.167853	0.554796
666	0.168361	0.555383
667	0.16882	0.555703
668	0.169789	0.556393
669	0.170379	0.5566
670	0.171172	0.557021
671	0.171871	0.558134
672	0.172616	0.559116
673	0.173448	0.559761
674	0.173901	0.559645
675	0.174383	0.559833
676	0.175056	0.561033
677	0.176292	0.562427
678	0.177246	0.563968
679	0.178131	0.565911
680	0.178634	0.566685
681	0.179647	0.566839
682	0.180285	0.567071
683	0.180545	0.567655
684	0.181505	0.568798
685	0.18233	0.570006
686	0.182878	0.571015
687	0.183881	0.5714
688	0.18463	0.571984
689	0.184852	0.57216
690	0.185474	0.572799
691	0.186289	0.573204
692	0.187049	0.573782
693	0.187949	0.575267
694	0.188823	0.576572
695	0.189181	0.576358
696	0.189951	0.577056
697	0.190629	0.577441
698	0.191046	0.578464
699	0.191778	0.579283
700	0.19303	0.581048
701	0.193883	0.582298
702	0.19463	0.583781
703	0.195366	0.583703
704	0.195656	0.583273
705	0.196504	0.584831
706	0.1973	0.585978
707	0.19787	0.587009
708	0.198761	0.587874
709	0.199696	0.5884
710	0.200509	0.590183
711	0.201157	0.589894
712	0.201409	0.589003
713	0.201643	0.589498
714	0.202562	0.590236
715	0.203224	0.590671
716	0.203784	0.591712
717	0.204766	0.593207
718	0.205626	0.593729
719	0.206219	0.593947
720	0.206642	0.594418
721	0.207221	0.5949
722	0.207876	0.595197
723	0.20845	0.596802
724	0.209654	0.598371
725	0.210318	0.598671
726	0.211295	0.600155
727	0.212246	0.601309
728	0.212757	0.601927
729	0.212946	0.601511
730	0.213076	0.601502
731	0.213901	0.602395
732	0.215142	0.604004
733	0.216153	0.605156
734	0.216543	0.606064
735	0.216828	0.605311
736	0.217716	0.606201
737	0.217881	0.606279
738	0.21815	0.605879
739	0.219058	0.60752
740	0.220211	0.608337
741	0.220733	0.609144
742	0.221317	0.610095
743	0.221559	0.610487
744	0.222676	0.610799
745	0.222992	0.611418
746	0.223439	0.611813
747	0.22416	0.612363
748	0.224911	0.613105
749	0.225732	0.614264
750	0.226406	0.61529
751	0.227714	0.61781
752	0.228025	0.617933
753	0.228011	0.617036
754	0.228607	0.616838
755	0.229979	0.618415
756	0.230124	0.618381
757	0.23045	0.619155
758	0.231638	0.620767
759	0.232847	0.622635
760	0.233212	0.62299
761	0.233035	0.62272
762	0.233681	0.622814
763	0.234891	0.623459
764	0.23473	0.62227
765	0.234586	0.621519
766	0.235199	0.621821
767	0.235759	0.623578
768	0.237068	0.625376
769	0.238315	0.626438
770	0.238529	0.627644
771	0.239128	0.627912
772	0.239698	0.628214
773	0.240267	0.628284
774	0.240665	0.628098
775	0.241331	0.629748
776	0.242445	0.630533
777	0.242294	0.630945
778	0.243494	0.633027
779	0.244741	0.633578
780	0.245302	0.634639
781	0.245653	0.635272
782	0.246213	0.635044
783	0.246001	0.634073
784	0.246747	0.635379
785	0.247281	0.63664
786	0.248218	0.63758
