Spectroscopic Data at 13.069 min.	
Wavelength (nm)	Intensity
662	0.35807
663	0.359511
664	0.360762
665	0.361325
666	0.361872
667	0.362261
668	0.363091
669	0.363489
670	0.364096
671	0.365002
672	0.365866
673	0.366604
674	0.366773
675	0.367108
676	0.368045
677	0.369359
678	0.370607
679	0.372021
680	0.372659
681	0.373243
682	0.373678
683	0.3741
684	0.375152
685	0.376168
686	0.376947
687	0.37764
688	0.378307
689	0.378506
690	0.379137
691	0.379746
692	0.380415
693	0.381608
694	0.382697
695	0.38277
696	0.383503
697	0.384035
698	0.384755
699	0.385531
700	0.387039
701	0.388091
702	0.389205
703	0.389534
704	0.389464
705	0.390667
706	0.391639
707	0.39244
708	0.393317
709	0.394048
710	0.395346
711	0.395525
712	0.395206
713	0.395571
714	0.396399
715	0.396947
716	0.397748
717	0.398987
718	0.399677
719	0.400083
720	0.40053
721	0.40106
722	0.401537
723	0.402626
724	0.404013
725	0.404494
726	0.405725
727	0.406778
728	0.407342
729	0.407229
730	0.407289
731	0.408148
732	0.409573
733	0.410654
734	0.411304
735	0.411069
736	0.411958
737	0.41208
738	0.412015
739	0.413289
740	0.414274
741	0.414939
742	0.415706
743	0.416023
744	0.416737
745	0.417205
746	0.417626
747	0.418262
748	0.419008
749	0.419998
750	0.420848
751	0.422762
752	0.422979
753	0.422523
754	0.422722
755	0.424197
756	0.424253
757	0.424802
758	0.426202
759	0.427741
760	0.428101
761	0.427878
762	0.428248
763	0.429175
764	0.4285
765	0.428052
766	0.42851
767	0.429669
768	0.431222
769	0.432376
770	0.433087
771	0.43352
772	0.433956
773	0.434275
774	0.434381
775	0.43554
776	0.436489
777	0.436619
778	0.438261
779	0.43916
780	0.439971
781	0.440463
782	0.440629
783	0.440037
784	0.441063
785	0.441961
786	0.442899
787	0.443247
788	0.443805
789	0.444206
790	0.444529
791	0.444268
792	0.445566
793	0.445577
794	0.446251
795	0.446546
796	0.44694
797	0.448364
798	0.448752
799	0.449616
800	0.450517
801	0.450467
802	0.450051
803	0.450634
804	0.451747
805	0.45272
806	0.452646
807	0.453353
808	0.454794
809	0.45568
810	0.456032
811	0.456235
812	0.456421
813	0.456505
814	0.456994
815	0.457358
816	0.45812
817	0.459571
818	0.460663
819	0.46162
820	0.461739
821	0.462388
822	0.4612
823	0.459397
824	0.458034
825	0.457516
826	0.458622
827	0.460333
828	0.460561
829	0.4608
830	0.46249
831	0.46439
832	0.465511
833	0.466033
834	0.465161
835	0.46436
836	0.464038
837	0.464893
838	0.466142
839	0.468471
840	0.470063
841	0.46946
842	0.469123
843	0.470131
844	0.471115
845	0.471657
846	0.471425
847	0.471408
848	0.472161
849	0.472837
850	0.473348
851	0.474308
852	0.47623
853	0.47747
854	0.478211
855	0.478026
856	0.477255
857	0.477211
858	0.478127
859	0.477451
860	0.477764
861	0.47746
862	0.479524
863	0.480221
864	0.480356
865	0.481117
866	0.48172
867	0.48207
868	0.482167
869	0.48253
870	0.481695
871	0.481494
872	0.482137
873	0.482739
874	0.483516
875	0.484138
876	0.484395
877	0.48493
878	0.485924
879	0.486151
880	0.484575
881	0.483047
882	0.48328
883	0.483098
884	0.482543
885	0.482896
886	0.483675
887	0.485293
888	0.486937
889	0.488262
890	0.489034
891	0.489907
892	0.490409
893	0.490714
894	0.489392
895	0.488543
896	0.488154
897	0.488098
898	0.48923
899	0.490786
900	0.49159
901	0.493189
902	0.494008
903	0.494569
904	0.494141
905	0.492696
906	0.491932
907	0.492156
908	0.493027
909	0.49469
910	0.495007
911	0.495512
912	0.496587
913	0.496455
914	0.496628
915	0.496319
916	0.495827
917	0.49528
918	0.494794
919	0.495298
920	0.496087
921	0.496309
922	0.497003
923	0.497768
924	0.497537
925	0.498225
926	0.499279
927	0.500424
928	0.500916
929	0.502158
930	0.503803
931	0.503147
932	0.503044
933	0.503133
934	0.503515
935	0.504642
936	0.503213
937	0.502717
938	0.50316
939	0.503036
940	0.503412
941	0.504544
942	0.50438
943	0.505358
944	0.505746
945	0.506625
946	0.506542
947	0.505794
948	0.50619
949	0.506174
950	0.505655
951	0.505061
952	0.505019
953	0.505455
954	0.506077
955	0.506904
956	0.507988
957	0.508092
958	0.51017
959	0.510778
960	0.51024
961	0.510532
962	0.510757
963	0.511074
964	0.512054
965	0.511749
966	0.510596
967	0.511311
968	0.511554
969	0.512272
970	0.512371
971	0.512801
972	0.513589
973	0.514243
974	0.514846
975	0.516073
976	0.516153
977	0.516295
978	0.51576
979	0.51499
980	0.51435
981	0.513945
982	0.512677
983	0.512058
984	0.513357
985	0.51449
986	0.516139
987	0.516812
988	0.517809
989	0.518664
990	0.51902
991	0.519439
992	0.519378
993	0.51864
994	0.518967
995	0.51892
996	0.51794
997	0.51896
998	0.519043
999	0.519774
1000	0.519802
1006	0.512154
1012	0.516842
1018	0.520495
1024	0.522919
1030	0.526365
1036	0.529357
1042	0.532079
1048	0.533601
1054	0.533933
1060	0.533206
1066	0.534399
1072	0.537302
1078	0.541569
1084	0.542501
1090	0.542084
1096	0.54178
1102	0.542023
1108	0.542796
1114	0.542294
1120	0.542994
1126	0.54262
1132	0.544656
1138	0.547729
1144	0.551236
1150	0.553609
1156	0.557118
1162	0.557413
1168	0.556985
1174	0.556019
1180	0.553703
1186	0.552984
1192	0.550804
1198	0.552471
1204	0.553985
1210	0.557526
1216	0.559499
1222	0.561896
1228	0.562672
1234	0.564729
1240	0.564276
1246	0.565125
1252	0.566592
1258	0.566992
1264	0.567618
1270	0.566286
1276	0.567057
1282	0.565164
1288	0.566182
1294	0.567588
1300	0.568794
1306	0.570387
1312	0.572668
1318	0.573686
1324	0.57316
1330	0.574642
1336	0.574384
1342	0.576274
1348	0.576188
1354	0.576764
1360	0.579247
1366	0.579753
1372	0.581273
1378	0.580966
1384	0.579316
1390	0.579982
1396	0.580818
1402	0.583407
1408	0.58343
1414	0.583068
1420	0.583186
1426	0.581954
1432	0.582505
1438	0.5835
1444	0.581923
1450	0.583251
1456	0.58427
1462	0.585352
1468	0.587373
1474	0.589945
1480	0.587137
1486	0.586467
1492	0.585902
1498	0.584953
1504	0.585321
1510	0.58624
1516	0.587251
1522	0.588588
1528	0.589467
1534	0.590499
1540	0.591642
1546	0.592465
1552	0.591692
1558	0.590337
1564	0.589957
1570	0.589589
1576	0.589924
1582	0.591705
1588	0.59304
1594	0.593081
1600	0.594286
1606	0.594807
1612	0.596012
1618	0.595443
1624	0.597073
1630	0.599481
1636	0.599695
1642	0.600555
1648	0.598866
1654	0.600368
1660	0.600951
1666	0.60024
1672	0.600393
1678	0.600513
1684	0.599254
1690	0.597349
1696	0.597192
1702	0.598288
1708	0.598026
1714	0.599947
1720	0.60128
1726	0.601499
1732	0.601479
1738	0.601413
1744	0.601855
1750	0.602818
1756	0.605774
1762	0.606383
1768	0.607398
1774	0.608966
1780	0.609046
1786	0.607406
1792	0.609027
1798	0.607937
1804	0.609544
1810	0.60865
1816	0.610295
1822	0.610863
1828	0.608621
1834	0.608464
1840	0.607889
1846	0.606837
1852	0.606966
1858	0.607434
1864	0.609161
1870	0.61132
1876	0.612291
1882	0.611799
