Opt. Const. of SiO2 (Sellmeier) vs. nm		
Wavelength (nm)	e1	e2
789.337708	2.112895	0
790.92157	2.112813	0
792.505432	2.112731	0
794.089172	2.11265	0
795.672791	2.112569	0
797.256348	2.112488	0
798.839783	2.112407	0
800.423157	2.112327	0
802.006409	2.112247	0
803.589478	2.112168	0
805.172546	2.112089	0
806.755493	2.11201	0
808.338318	2.111931	0
809.921082	2.111853	0
811.503723	2.111774	0
813.086304	2.111697	0
814.668701	2.111619	0
816.251038	2.111542	0
817.833252	2.111465	0
819.415344	2.111388	0
820.997375	2.111311	0
822.579285	2.111235	0
824.161011	2.111159	0
825.742798	2.111083	0
827.324341	2.111008	0
828.905884	2.110933	0
830.487183	2.110857	0
832.068481	2.110783	0
833.649597	2.110708	0
835.230591	2.110634	0
836.811523	2.11056	0
838.392273	2.110486	0
839.972961	2.110413	0
841.553589	2.110339	0
843.133972	2.110266	0
844.714355	2.110193	0
846.294617	2.110121	0
847.874695	2.110048	0
849.454712	2.109976	0
851.034546	2.109904	0
852.61438	2.109832	0
854.19397	2.109761	0
855.773438	2.109689	0
857.352844	2.109618	0
858.932129	2.109547	0
860.511353	2.109476	0
862.090332	2.109406	0
863.66925	2.109335	0
865.248047	2.109265	0
866.82666	2.109195	0
868.405273	2.109126	0
869.983704	2.109056	0
871.56189	2.108987	0
873.140015	2.108917	0
874.71814	2.108849	0
876.296021	2.10878	0
877.87384	2.108711	0
879.451477	2.108643	0
881.028992	2.108575	0
882.606323	2.108506	0
884.183594	2.108439	0
885.760742	2.108371	0
887.337708	2.108304	0
888.914551	2.108236	0
890.491333	2.108169	0
892.067871	2.108102	0
893.644348	2.108035	0
895.220703	2.107969	0
896.796875	2.107902	0
898.372925	2.107836	0
899.948853	2.10777	0
901.524597	2.107704	0
903.10022	2.107638	0
904.675781	2.107572	0
906.251099	2.107507	0
907.826355	2.107441	0
909.401367	2.107376	0
910.976379	2.107311	0
912.551147	2.107246	0
914.125793	2.107182	0
915.700317	2.107117	0
917.274719	2.107053	0
918.848938	2.106988	0
920.422974	2.106924	0
921.996887	2.10686	0
923.570679	2.106796	0
925.144348	2.106733	0
926.717773	2.106669	0
928.291138	2.106606	0
929.86438	2.106542	0
931.437378	2.106479	0
933.010254	2.106416	0
934.583008	2.106353	0
936.15564	2.106291	0
937.728027	2.106228	0
939.300415	2.106165	0
940.872437	2.106103	0
942.444458	2.106041	0
944.016296	2.105979	0
945.588013	2.105917	0
947.159485	2.105855	0
948.730835	2.105793	0
950.302063	2.105732	0
951.873169	2.10567	0
953.444031	2.105609	0
955.014771	2.105548	0
956.585327	2.105486	0
958.155762	2.105425	0
959.725952	2.105365	0
961.296082	2.105304	0
