Spectroscopic Data at 13.069 min.		
Wavelength (nm)	Psi	Delta
473	19.894287	125.001015
474	19.925001	124.906281
475	19.977791	124.93605
476	19.986652	124.854446
477	19.98995	124.811378
478	20.025541	124.683289
479	20.075869	124.549446
480	20.108858	124.439621
481	20.135521	124.273659
482	20.170731	124.166466
483	20.199812	124.202415
484	20.221876	124.106056
485	20.28339	124.02816
486	20.312336	124.056221
487	20.338863	123.881653
488	20.385254	123.767647
489	20.415937	123.775032
490	20.446304	123.746658
491	20.479643	123.593559
492	20.503506	123.491806
493	20.560968	123.472748
494	20.603455	123.392441
495	20.657686	123.295341
496	20.715015	123.13028
497	20.738977	123.066429
498	20.77356	123.116982
499	20.84235	123.026039
500	20.871727	122.877304
501	20.920254	122.915863
502	20.945246	122.88015
503	21.000402	122.758324
504	21.052526	122.681938
505	21.09322	122.606758
506	21.14893	122.644936
507	21.180223	122.47673
508	21.234394	122.429863
509	21.25843	122.487076
510	21.281561	122.395927
511	21.32052	122.342468
512	21.391893	122.259331
513	21.450274	122.212341
514	21.474154	122.232506
515	21.533318	122.164558
516	21.593616	122.101067
517	21.631552	122.057945
518	21.71876	122.000198
519	21.75939	121.979172
520	21.775249	121.968117
521	21.823034	121.876045
522	21.902769	121.843002
523	21.961079	121.843689
524	21.98978	121.857986
525	22.037218	121.827202
526	22.104338	121.770386
527	22.154921	121.696861
528	22.193169	121.622337
529	22.231939	121.690796
530	22.304995	121.714668
531	22.351948	121.622604
532	22.392557	121.611641
533	22.448502	121.6045
534	22.515779	121.578194
535	22.557364	121.551407
536	22.608183	121.476257
537	22.6768	121.494209
538	22.718575	121.567398
539	22.776995	121.494057
540	22.834967	121.508911
541	22.892771	121.484245
542	22.932013	121.431465
543	22.991188	121.482513
544	23.039812	121.481781
545	23.08256	121.530853
546	23.138531	121.50679
547	23.18619	121.380508
548	23.259941	121.427551
549	23.297707	121.45018
550	23.35305	121.38131
551	23.396364	121.399879
552	23.451361	121.446022
553	23.522661	121.466354
554	23.576715	121.428856
555	23.627808	121.455177
556	23.668554	121.481079
557	23.726553	121.464569
558	23.790173	121.436638
559	23.853966	121.523865
560	23.892477	121.546539
561	23.932316	121.532211
562	23.98023	121.43869
563	24.042669	121.511971
564	24.106804	121.56987
565	24.163815	121.535301
566	24.226677	121.613853
567	24.261827	121.639816
568	24.281012	121.69989
569	24.353098	121.658928
570	24.428917	121.666229
571	24.482542	121.701256
572	24.529083	121.689545
573	24.569336	121.779091
574	24.633875	121.781189
575	24.696524	121.791641
576	24.762436	121.8498
577	24.785702	121.85981
578	24.824827	121.883835
579	24.906321	121.966644
580	24.953821	121.982124
581	24.991692	121.923058
582	25.034031	122.029564
583	25.094965	122.039162
584	25.145779	122.081856
585	25.22035	122.142326
586	25.28319	122.127831
587	25.302095	122.142868
588	25.350279	122.181435
589	25.410706	122.286873
590	25.474627	122.342705
591	25.537024	122.379211
592	25.562254	122.306808
593	25.615545	122.391708
594	25.661039	122.425972
595	25.698988	122.460014
596	25.744534	122.534241
597	25.827379	122.552437
598	25.850943	122.597374
599	25.89694	122.630951
600	25.98959	122.669685
601	26.01853	122.7313
602	26.05061	122.760513
603	26.111572	122.754303
604	26.176043	122.838463
605	26.231396	122.951607
606	26.276936	122.903923
607	26.340227	122.950935
608	26.374071	123.050453
609	26.414705	123.149498
610	26.464262	123.228096
611	26.508408	123.215034
612	26.565748	123.271591
613	26.623838	123.319832
614	26.65296	123.341583
615	26.693752	123.37764
616	26.746035	123.447395
617	26.807886	123.509789
618	26.836355	123.615158
619	26.867973	123.665779
620	26.945587	123.776199
621	26.995014	123.810318
622	27.014559	123.798996
623	27.09193	123.878502
624	27.143263	123.927277
625	27.186077	123.962814
626	27.225687	124.027298
627	27.259575	124.106949
628	27.306435	124.172768
629	27.351603	124.203941
630	27.370848	124.281868
631	27.429693	124.345276
632	27.4855	124.336571
633	27.530558	124.406075
634	27.56814	124.525993
635	27.615913	124.559425
636	27.663946	124.603241
637	27.710144	124.666115
638	27.745426	124.790398
639	27.787783	124.818802
640	27.830061	124.821907
641	27.867495	124.980263
642	27.894463	125.031471
643	27.940933	125.083656
644	28.004665	125.195953
645	28.053396	125.285393
646	28.090353	125.28141
647	28.114292	125.253654
648	28.168018	125.336327
649	28.192793	125.44899
650	28.223053	125.571472
651	28.281343	125.556099
652	28.325705	125.650497
653	28.375145	125.738853
654	28.404356	125.788383
655	28.422085	125.830719
656	28.472916	125.901924
657	28.525543	126.038383
658	28.546827	126.050919
659	28.58737	126.095261
660	28.637543	126.229988
661	28.661802	126.281792
662	28.695135	126.304802
663	28.744053	126.401024
664	28.779692	126.469551
665	28.812767	126.509346
666	28.836523	126.623032
667	28.862518	126.73494
668	28.916809	126.68
669	28.954397	126.725929
670	29.001635	126.819389
671	29.026825	126.923378
672	29.058096	126.982147
673	29.102549	127.023216
674	29.136873	127.147408
675	29.166504	127.226524
676	29.187366	127.287468
677	29.242937	127.358185
678	29.275434	127.403793
679	29.294266	127.512535
680	29.312048	127.547165
681	29.377918	127.598366
682	29.416317	127.662407
683	29.421373	127.783592
684	29.46176	127.82309
685	29.491367	127.913864
686	29.506525	128.02713
687	29.565435	128.072433
688	29.60284	128.088959
689	29.61385	128.181213
690	29.641438	128.233932
691	29.686752	128.343735
692	29.724541	128.398178
693	29.751877	128.385117
694	29.781204	128.536728
695	29.809177	128.571182
696	29.844439	128.666809
697	29.880262	128.746307
698	29.885378	128.77681
699	29.915209	128.843292
700	29.958181	128.873932
701	29.986181	128.990433
702	30.002321	129.04245
703	30.050846	129.116989
704	30.078363	129.198608
705	30.09898	129.220215
706	30.124914	129.272537
707	30.138927	129.41333
708	30.176485	129.455536
709	30.223816	129.474609
710	30.236746	129.483231
711	30.283104	129.613434
712	30.317589	129.759476
713	30.321577	129.812881
714	30.362743	129.862045
715	30.394308	129.970779
716	30.406677	129.970322
717	30.435282	130.047531
718	30.476721	130.152969
719	30.508194	130.200089
720	30.523937	130.264038
721	30.54884	130.368851
722	30.582153	130.409836
723	30.582989	130.514847
724	30.622318	130.563019
725	30.655737	130.600388
726	30.682863	130.674316
727	30.71521	130.672699
728	30.732536	130.792831
729	30.752424	130.876007
730	30.760284	130.920471
731	30.790247	130.990265
732	30.829582	131.051071
733	30.864655	131.168686
734	30.868492	131.178391
735	30.900738	131.218796
736	30.933794	131.329178
737	30.941753	131.428543
738	30.965731	131.395386
739	30.983997	131.443573
740	31.033401	131.53038
741	31.046602	131.665573
742	31.060287	131.762115
743	31.065998	131.768005
744	31.123262	131.874832
745	31.128387	131.872498
746	31.145573	131.978104
747	31.175072	132.08313
748	31.202147	132.127335
749	31.224438	132.214874
750	31.241106	132.238449
751	31.26235	132.325592
752	31.277189	132.375565
753	31.294859	132.425583
754	31.33213	132.531357
755	31.375822	132.549759
756	31.384529	132.569382
757	31.386618	132.658401
758	31.418993	132.718079
759	31.447102	132.810913
760	31.459778	132.857697
761	31.455647	133.033768
762	31.489019	132.999863
763	31.541733	133.058395
764	31.557352	133.065262
765	31.564955	133.178909
766	31.592081	133.273499
767	31.586428	133.327377
768	31.620407	133.415955
769	31.665838	133.431381
770	31.65271	133.512909
771	31.679323	133.585922
772	31.703691	133.662659
773	31.732626	133.758331
774	31.757645	133.741013
775	31.759439	133.851624
776	31.802528	133.980225
777	31.78614	133.931747
778	31.807272	133.903793
779	31.861685	134.035645
780	31.869602	134.15744
781	31.87513	134.143112
782	31.909033	134.15715
783	31.917631	134.289398
784	31.930105	134.32399
785	31.932409	134.452988
786	31.962091	134.486038
787	31.992392	134.601685
788	31.987787	134.622498
789	32.001133	134.615341
790	32.033554	134.689316
791	32.042164	134.748932
792	32.079597	134.918777
793	32.091499	134.931442
794	32.132404	135.013123
795	32.143654	134.991104
796	32.13855	135.006958
797	32.159672	135.112564
798	32.17099	135.211273
799	32.192894	135.261139
800	32.195568	135.355087
801	32.205685	135.363113
802	32.228371	135.427765
803	32.240181	135.536469
804	32.276466	135.600418
805	32.293179	135.636734
806	32.307198	135.696533
807	32.338779	135.652756
808	32.356163	135.762466
809	32.356503	135.855118
810	32.362545	135.860626
811	32.367462	135.929779
812	32.394676	135.914978
813	32.429974	136.02948
814	32.448551	136.100815
815	32.465092	136.141739
816	32.48402	136.14975
817	32.49345	136.230148
818	32.495342	136.29039
819	32.522266	136.329117
820	32.535748	136.34166
821	32.545906	136.46257
822	32.560764	136.494492
823	32.569016	136.566605
824	32.574707	136.70163
825	32.595638	136.764786
826	32.616417	136.813171
827	32.643742	136.857132
828	32.64679	136.895645
829	32.652794	136.969681
830	32.677933	137.049652
831	32.683186	137.0896
832	32.71817	137.114288
833	32.746071	137.15863
834	32.744179	137.161453
835	32.751228	137.218079
836	32.767006	137.317764
837	32.779266	137.425003
838	32.791111	137.406601
839	32.811623	137.430328
840	32.819839	137.511475
841	32.835812	137.56929
842	32.828026	137.673233
843	32.8545	137.680862
844	32.861835	137.74234
845	32.886986	137.819
846	32.893696	137.859894
847	32.905739	137.904678
848	32.936405	137.985062
849	32.95771	138.078033
850	32.969017	138.055252
851	32.955704	138.059219
852	32.976192	138.27269
853	32.991787	138.246063
854	33.010021	138.176361
855	33.017052	138.304977
856	33.032757	138.369354
857	32.9939	138.426117
858	33.038239	138.437103
859	33.057301	138.562317
860	33.040504	138.511597
861	33.070953	138.567841
862	33.089088	138.639359
863	33.103111	138.666992
864	33.104095	138.723923
865	33.124348	138.811722
866	33.162735	138.865204
867	33.157024	138.89679
868	33.151493	138.99736
869	33.181538	139.032593
870	33.193661	139.043472
871	33.225979	139.138702
872	33.240475	139.179657
873	33.224327	139.172089
874	33.237469	139.255432
875	33.267258	139.320175
876	33.277046	139.349075
877	33.276649	139.371948
878	33.295872	139.384857
879	33.312042	139.485214
880	33.306431	139.532639
881	33.314301	139.581619
882	33.312599	139.718094
883	33.322487	139.740143
884	33.345673	139.765472
885	33.357368	139.832016
886	33.378067	139.910355
887	33.384026	139.963348
888	33.408543	140.007278
889	33.407047	140.015747
890	33.421329	140.001038
891	33.438675	140.117386
892	33.442986	140.119415
893	33.469814	140.154694
894	33.470444	140.242432
895	33.469425	140.269531
896	33.468311	140.381058
897	33.483681	140.390839
898	33.511681	140.397461
899	33.501808	140.469559
900	33.5075	140.53772
901	33.544849	140.591599
902	33.54694	140.600235
903	33.565506	140.615417
904	33.576828	140.646393
905	33.569851	140.707367
906	33.576744	140.797195
907	33.585854	140.855484
