All Layer Optical Constants
Wavelength (nm)	e1, TIN 3 (Lorentz)	e2, TIN 3 (Lorentz)
576.991516	0.657958	3.820784
578.570679	0.645390	3.836627
580.149780	0.632848	3.852528
581.728760	0.620331	3.868485
583.307739	0.607839	3.884500
584.886597	0.595373	3.900570
586.465393	0.582932	3.916697
588.044067	0.570517	3.932878
589.622742	0.558127	3.949114
591.201294	0.545762	3.965404
592.779846	0.533423	3.981747
594.358276	0.521109	3.998144
595.936646	0.508821	4.014593
597.514893	0.496558	4.031095
599.093140	0.484320	4.047648
600.671265	0.472108	4.064252
602.249329	0.459921	4.080907
603.827271	0.447760	4.097612
605.405151	0.435624	4.114367
606.983032	0.423513	4.131172
608.560791	0.411427	4.148026
610.138489	0.399367	4.164928
611.716064	0.387332	4.181879
613.293579	0.375323	4.198877
614.871033	0.363339	4.215922
616.448425	0.351379	4.233015
618.025757	0.339446	4.250154
619.602966	0.327537	4.267339
621.180054	0.315654	4.284569
622.757202	0.303796	4.301845
624.334106	0.291963	4.319165
625.911011	0.280155	4.336531
627.487915	0.268372	4.353940
629.064575	0.256615	4.371394
630.641296	0.244883	4.388891
632.217896	0.233176	4.406430
633.794373	0.221494	4.424013
635.370789	0.209837	4.441638
636.947144	0.198205	4.459304
638.523376	0.186598	4.477013
640.099548	0.175016	4.494762
641.675659	0.163459	4.512553
643.251709	0.151927	4.530384
644.827637	0.140420	4.548256
646.403442	0.128938	4.566167
647.979248	0.117480	4.584118
649.554932	0.106048	4.602108
651.130493	0.094640	4.620138
652.705994	0.083258	4.638206
654.281433	0.071900	4.656312
655.856812	0.060567	4.674456
657.432007	0.049258	4.692638
659.007202	0.037975	4.710858
660.582336	0.026716	4.729115
662.157349	0.015481	4.747408
663.732239	0.004272	4.765738
665.307007	-0.006913	4.784103
666.881775	-0.018074	4.802505
668.456421	-0.029210	4.820943
670.031006	-0.040321	4.839417
671.605469	-0.051408	4.857924
673.179871	-0.062470	4.876468
674.754211	-0.073508	4.895045
676.328369	-0.084521	4.913656
677.902466	-0.095510	4.932302
679.476563	-0.106475	4.950982
681.050476	-0.117415	4.969695
682.624390	-0.128331	4.988441
684.198120	-0.139223	5.007219
685.771790	-0.150090	5.026031
687.345337	-0.160934	5.044875
688.918823	-0.171753	5.063751
690.492249	-0.182547	5.082659
692.065552	-0.193318	5.101599
693.638794	-0.204065	5.120569
695.211914	-0.214787	5.139572
696.784912	-0.225486	5.158604
698.357849	-0.236160	5.177668
699.930725	-0.246811	5.196763
701.503479	-0.257437	5.215887
703.076111	-0.268040	5.235041
704.648682	-0.278619	5.254225
706.221130	-0.289174	5.273438
707.793518	-0.299705	5.292681
709.365845	-0.310212	5.311953
710.937988	-0.320696	5.331253
712.510071	-0.331155	5.350582
714.082092	-0.341592	5.369940
715.653931	-0.352004	5.389325
717.225769	-0.362393	5.408739
718.797485	-0.372758	5.428180
720.369080	-0.383100	5.447649
721.940552	-0.393418	5.467144
723.512024	-0.403713	5.486668
725.083313	-0.413985	5.506217
726.654541	-0.424233	5.525794
728.225647	-0.434457	5.545396
729.796631	-0.444658	5.565025
731.367554	-0.454836	5.584681
732.938354	-0.464990	5.604362
734.509094	-0.475122	5.624068
736.079712	-0.485230	5.643800
737.650269	-0.495315	5.663558
739.220642	-0.505377	5.683340
740.790955	-0.515416	5.703147
742.361206	-0.525431	5.722979
743.931274	-0.535424	5.742835
745.501343	-0.545394	5.762715
747.071228	-0.555340	5.782620
748.640991	-0.565264	5.802548
750.210754	-0.575165	5.822500
751.780334	-0.585043	5.842476
753.349854	-0.594899	5.862475
754.919250	-0.604731	5.882497
756.488525	-0.614541	5.902543
758.057739	-0.624328	5.922610
759.626831	-0.634092	5.942701
761.195740	-0.643834	5.962814
762.764648	-0.653553	5.982949
764.333374	-0.663250	6.003107
765.902039	-0.672924	6.023286
767.470581	-0.682576	6.043487
769.039063	-0.692205	6.063710
770.607422	-0.701812	6.083954
772.175659	-0.711396	6.104219
773.743774	-0.720959	6.124505
775.311768	-0.730498	6.144813
776.879700	-0.740016	6.165141
778.447510	-0.749512	6.185490
780.015198	-0.758985	6.205859
781.582825	-0.768437	6.226249
783.150269	-0.777865	6.246657
784.717651	-0.787273	6.267087
786.284912	-0.796658	6.287537
787.852051	-0.806021	6.308006
789.419067	-0.815362	6.328494
790.986023	-0.824681	6.349002
792.552856	-0.833979	6.369529
794.119507	-0.843254	6.390075
795.686157	-0.852508	6.410640
797.252625	-0.861740	6.431224
798.818970	-0.870951	6.451826
800.385254	-0.880140	6.472446
801.951416	-0.889307	6.493086
803.517456	-0.898452	6.513743
805.083374	-0.907576	6.534418
806.649170	-0.916679	6.555111
808.214905	-0.925760	6.575822
809.780457	-0.934820	6.596550
811.345947	-0.943858	6.617297
812.911255	-0.952875	6.638059
814.476501	-0.961871	6.658840
816.041626	-0.970846	6.679637
817.606628	-0.979799	6.700451
819.171509	-0.988731	6.721282
820.736328	-0.997642	6.742130
822.300964	-1.006532	6.762994
823.865540	-1.015401	6.783875
825.429993	-1.024248	6.804772
826.994263	-1.033075	6.825684
828.558472	-1.041881	6.846613
830.122559	-1.050666	6.867558
831.686523	-1.059430	6.888518
833.250305	-1.068174	6.909493
834.814087	-1.076896	6.930486
836.377625	-1.085598	6.951492
837.941101	-1.094279	6.972514
839.504517	-1.102940	6.993551
841.067749	-1.111580	7.014604
842.630859	-1.120199	7.035670
844.193848	-1.128798	7.056751
845.756714	-1.137377	7.077847
847.319519	-1.145935	7.098958
848.882141	-1.154472	7.120083
850.444641	-1.162989	7.141222
852.007019	-1.171486	7.162375
853.569336	-1.179963	7.183543
855.131531	-1.188420	7.204725
856.693542	-1.196856	7.225920
858.255493	-1.205272	7.247128
859.817200	-1.213668	7.268350
861.378906	-1.222044	7.289586
862.940430	-1.230400	7.310835
864.501831	-1.238736	7.332097
866.063110	-1.247052	7.353372
867.624329	-1.255348	7.374661
869.185364	-1.263624	7.395962
870.746216	-1.271880	7.417274
872.307007	-1.280117	7.438602
873.867676	-1.288334	7.459941
875.428223	-1.296531	7.481292
876.988586	-1.304709	7.502656
878.548950	-1.312867	7.524033
880.109070	-1.321005	7.545421
881.669067	-1.329124	7.566820
883.229004	-1.337224	7.588233
884.788757	-1.345304	7.609657
886.348450	-1.353364	7.631093
887.907898	-1.361405	7.652540
889.467285	-1.369427	7.673998
891.026550	-1.377430	7.695469
892.585754	-1.385413	7.716951
894.144714	-1.393377	7.738443
895.703491	-1.401322	7.759946
897.262329	-1.409248	7.781462
898.820923	-1.417155	7.802988
