wavelength_nm,transmittance
473.86,0.19806
474.23,0.20215
474.6,0.21114
474.97,0.21438
475.34,0.18439
475.71,0.18864
476.08,0.18953
476.44,0.176
476.81,0.19307
477.18,0.17242
477.55,0.16047
477.92,0.15771
478.29,0.16893
478.65,0.17054
479.02,0.1392
479.39,0.15519
479.76,0.14439
480.13,0.13227
480.49,0.14809
480.86,0.13418
481.23,0.14032
481.6,0.12763
481.97,0.13461
482.33,0.12235
482.7,0.1224
483.07,0.12591
483.44,0.13757
483.81,0.1364
484.17,0.12959
484.54,0.12155
484.91,0.12428
485.28,0.11963
485.64,0.11205
486.01,0.12413
486.38,0.10654
486.74,0.1085
487.11,0.10726
487.48,0.12029
487.85,0.10926
488.21,0.09983
488.58,0.10143
488.95,0.1075
489.31,0.10168
489.68,0.10368
490.05,0.10377
490.42,0.0977
490.78,0.09054
491.15,0.08941
491.52,0.08607
491.88,0.08579
492.25,0.0878
492.62,0.08529
492.98,0.08302
493.35,0.08792
493.72,0.08175
494.08,0.07903
494.45,0.08131
494.81,0.07793
495.18,0.07577
495.55,0.0798
495.91,0.07642
496.28,0.08135
496.65,0.07724
497.01,0.08074
497.38,0.06949
497.74,0.07491
498.11,0.07021
498.48,0.07515
498.84,0.06797
499.21,0.06547
499.57,0.0764
499.94,0.06983
500.3,0.06325
500.67,0.06575
501.04,0.06283
501.4,0.06157
501.77,0.06233
502.13,0.06363
502.5,0.06367
502.86,0.06398
503.23,0.05727
503.59,0.05444
503.96,0.05549
504.32,0.05438
504.69,0.0597
505.05,0.05302
505.42,0.05712
505.79,0.04894
506.15,0.05068
506.52,0.05574
506.88,0.05134
507.24,0.04938
507.61,0.05391
507.97,0.04946
508.34,0.04768
508.7,0.04637
509.07,0.04772
509.43,0.05107
509.8,0.04832
510.16,0.04215
510.53,0.04545
510.89,0.04305
511.26,0.0459
511.62,0.04615
511.98,0.04508
512.35,0.0433
512.71,0.04057
513.08,0.04156
513.44,0.04024
513.81,0.0422
514.17,0.04232
514.53,0.04238
514.9,0.03836
515.26,0.0437
515.63,0.04082
515.99,0.03955
516.35,0.04063
516.72,0.03741
517.08,0.04073
517.44,0.03784
517.81,0.03674
518.17,0.03505
518.54,0.03822
518.9,0.03854
519.26,0.03824
519.63,0.03714
519.99,0.03657
520.35,0.03535
520.72,0.03484
521.08,0.03797
521.44,0.03546
521.81,0.03504
522.17,0.03305
522.53,0.03563
522.89,0.03484
523.26,0.03587
523.62,0.03415
523.98,0.0353
524.35,0.03534
524.71,0.03489
525.07,0.03754
525.43,0.0357
525.8,0.03427
526.16,0.03449
526.52,0.0357
526.89,0.03481
527.25,0.03174
527.61,0.03123
527.97,0.03338
528.34,0.03757
528.7,0.03199
529.06,0.03087
529.42,0.03257
529.78,0.03089
530.15,0.0334
530.51,0.03098
530.87,0.03421
531.23,0.0327
531.59,0.03311
531.96,0.03159
532.32,0.03152
532.68,0.03213
533.04,0.0306
533.4,0.03238
533.77,0.03091
534.13,0.02938
534.49,0.02897
534.85,0.03343
535.21,0.0291
535.57,0.0298
535.94,0.03163
536.3,0.02967
536.66,0.03201
537.02,0.03014
537.38,0.02979
537.74,0.03137
538.1,0.03112
538.46,0.03103
538.83,0.03007
539.19,0.03082
539.55,0.03071
539.91,0.02985
540.27,0.02756
540.63,0.02793
540.99,0.02976
541.35,0.02738
541.71,0.02929
542.07,0.0299
542.43,0.03018
542.79,0.02961
543.16,0.02912
543.52,0.02875
543.88,0.02779
544.24,0.02952
544.6,0.02861
544.96,0.02851
545.32,0.02718
545.68,0.02748
546.04,0.02841
546.4,0.02761
546.76,0.02783
547.12,0.02667
547.48,0.02727
547.84,0.02815
548.2,0.02582
548.56,0.02543
548.92,0.02616
549.28,0.02623
549.64,0.02733
550,0.02607
550.36,0.02495
550.72,0.02736
551.08,0.02601
551.44,0.02587
551.8,0.02614
552.16,0.02604
552.52,0.02581
552.87,0.02533
553.23,0.0252
553.59,0.02588
553.95,0.02583
554.31,0.02494
554.67,0.02488
555.03,0.02468
555.39,0.02668
555.75,0.02536
556.11,0.02531
556.47,0.02575
556.83,0.02474
557.18,0.02542
557.54,0.02455
557.9,0.02551
558.26,0.02365
558.62,0.02301
558.98,0.02367
559.34,0.02447
559.7,0.02468
560.05,0.02542
560.41,0.02296
560.77,0.02607
561.13,0.02502
561.49,0.02391
561.85,0.02319
562.2,0.02502
562.56,0.02506
562.92,0.02274
563.28,0.02421
563.64,0.02492
563.99,0.02405
564.35,0.02567
564.71,0.02449
565.07,0.02613
565.43,0.0241
565.78,0.02524
566.14,0.02536
566.5,0.0243
566.86,0.02494
567.21,0.02519
567.57,0.02407
567.93,0.02416
568.29,0.02526
568.64,0.02455
569,0.02458
569.36,0.02321
569.72,0.02495
570.07,0.0246
570.43,0.02484
570.79,0.02494
571.15,0.02429
571.5,0.0247
571.86,0.0236
572.22,0.02362
572.57,0.02496
572.93,0.02563
573.29,0.02476
573.64,0.02426
574,0.02585
574.36,0.02499
574.72,0.02553
575.07,0.02409
575.43,0.02337
575.78,0.02465
576.14,0.02429
576.5,0.02478
576.85,0.02344
577.21,0.0227
577.57,0.02302
577.92,0.02524
578.28,0.02579
578.64,0.02516
578.99,0.02426
579.35,0.02531
579.7,0.0253
580.06,0.02618
580.42,0.02566
580.77,0.02383
581.13,0.02412
581.48,0.0242
581.84,0.02564
582.2,0.02515
582.55,0.02518
582.91,0.02316
583.26,0.02524
583.62,0.02524
583.97,0.02534
584.33,0.02373
584.68,0.0255
585.04,0.02537
585.4,0.025
585.75,0.02448
586.11,0.02392
586.46,0.02509
586.82,0.02425
587.17,0.02487
587.53,0.02486
587.88,0.02449
588.24,0.0237
588.59,0.02525
588.95,0.02453
589.3,0.02483
589.66,0.02385
590.01,0.02484
590.37,0.02418
590.72,0.02551
591.08,0.02398
591.43,0.02555
591.78,0.02514
592.14,0.02617
592.49,0.024
592.85,0.02491
593.2,0.02466
593.56,0.02392
593.91,0.02554
594.26,0.0239
594.62,0.02331
594.97,0.02382
595.33,0.02414
595.68,0.02436
596.04,0.02544
596.39,0.02487
596.74,0.02415
597.1,0.0247
597.45,0.02532
597.8,0.02406
598.16,0.02411
598.51,0.02506
598.87,0.02627
599.22,0.02482
599.57,0.02465
599.93,0.02482
600.28,0.02642
600.63,0.0237
600.99,0.02517
601.34,0.02463
601.69,0.02455
602.05,0.0246
602.4,0.02469
602.75,0.02484
603.11,0.02317
603.46,0.02352
603.81,0.02521
604.17,0.02389
604.52,0.02442
604.87,0.02507
605.22,0.02466
605.58,0.02478
605.93,0.02526
606.28,0.02395
606.64,0.02355
606.99,0.02477
607.34,0.02412
607.69,0.02386
608.05,0.02396
608.4,0.0259
608.75,0.02492
609.1,0.02567
609.45,0.02436
609.81,0.02564
610.16,0.02464
610.51,0.02459
610.86,0.02485
611.22,0.0271
611.57,0.02549
611.92,0.0253
612.27,0.02511
612.62,0.02447
612.98,0.02453
613.33,0.02508
613.68,0.02447
614.03,0.0244
614.38,0.02452
614.73,0.02388
615.09,0.02474
615.44,0.0238
615.79,0.02402
616.14,0.02371
616.49,0.0228
616.84,0.0229
617.19,0.02447
617.55,0.02449
617.9,0.02403
618.25,0.02267
618.6,0.02381
618.95,0.02488
619.3,0.0251
619.65,0.02472
620,0.0241
620.35,0.02368
620.7,0.02348
621.06,0.02507
621.41,0.02464
621.76,0.02439
622.11,0.02292
622.46,0.02416
622.81,0.02431
623.16,0.02351
623.51,0.02444
623.86,0.02384
624.21,0.0248
624.56,0.02326
624.91,0.02387
625.26,0.02476
625.61,0.02459
625.96,0.02405
626.31,0.02376
626.66,0.02529
627.01,0.02552
627.36,0.02464
627.71,0.02466
628.06,0.02478
628.41,0.02506
628.76,0.02454
629.11,0.02331
629.46,0.0249
629.81,0.02294
630.16,0.02382
630.51,0.02289
630.86,0.02469
631.21,0.02462
631.56,0.02382
631.91,0.02474
632.26,0.024
632.61,0.02376
632.96,0.02327
633.3,0.02529
633.65,0.02349
634,0.0247
634.35,0.02247
634.7,0.02397
635.05,0.02468
635.4,0.02399
635.75,0.02479
636.1,0.02468
636.45,0.02406
636.79,0.0236
637.14,0.02511
637.49,0.02411
637.84,0.0241
638.19,0.02256
638.54,0.02414
638.89,0.02401
639.23,0.02505
639.58,0.02359
639.93,0.02421
640.28,0.02417
640.63,0.02405
640.98,0.02491
641.32,0.02414
641.67,0.02368
642.02,0.02429
642.37,0.02413
642.72,0.02502
643.06,0.02361
643.41,0.02477
643.76,0.02394
644.11,0.02627
644.45,0.02429
644.8,0.02319
645.15,0.02492
645.5,0.02428
645.84,0.02378
646.19,0.02406
646.54,0.02313
646.89,0.02458
647.23,0.02398
647.58,0.02392
647.93,0.02364
648.28,0.02419
648.62,0.02302
648.97,0.02422
649.32,0.0233
649.66,0.02461
650.01,0.0241
650.36,0.02485
650.71,0.02348
651.05,0.02282
651.4,0.0243
651.75,0.02377
652.09,0.02467
652.44,0.02425
652.79,0.02437
653.13,0.02487
653.48,0.02415
653.83,0.02363
654.17,0.02434
654.52,0.02327
654.86,0.02455
655.21,0.02297
655.56,0.02444
655.9,0.02452
656.25,0.02393
656.6,0.02455
656.94,0.02493
657.29,0.02339
657.63,0.02409
657.98,0.02315
658.33,0.02342
658.67,0.02329
659.02,0.02323
659.36,0.02281
659.71,0.02356
660.05,0.0251
660.4,0.02278
660.75,0.02262
661.09,0.02356
661.44,0.02368
661.78,0.02442
662.13,0.02477
662.47,0.02312
662.82,0.02302
663.16,0.02496
663.51,0.0231
663.85,0.0238
664.2,0.0238
664.54,0.02301
664.89,0.02445
665.23,0.02417
665.58,0.02337
665.92,0.02294
666.27,0.02373
666.61,0.02303
666.96,0.02381
667.3,0.02421
667.65,0.02468
667.99,0.02314
668.34,0.02426
668.68,0.0235
669.02,0.02408
669.37,0.02286
669.71,0.02403
670.06,0.02513
670.4,0.0238
670.75,0.02452
671.09,0.02519
671.43,0.0234
671.78,0.02326
672.12,0.02395
672.47,0.02406
672.81,0.02349
673.15,0.02249
673.5,0.0235
673.84,0.02437
674.19,0.02341
674.53,0.02315
674.87,0.02332
675.22,0.02339
675.56,0.02349
675.9,0.02412
676.25,0.02432
676.59,0.02387
676.93,0.02337
677.28,0.02327
677.62,0.02414
677.96,0.02252
678.31,0.02276
678.65,0.02259
678.99,0.02258
679.34,0.02185
679.68,0.02327
680.02,0.02416
680.36,0.02304
680.71,0.02401
681.05,0.02285
681.39,0.02457
681.74,0.02525
682.08,0.02333
682.42,0.02462
682.76,0.02406
683.11,0.02436
683.45,0.02419
683.79,0.02373
684.13,0.02405
684.48,0.02214
684.82,0.02236
685.16,0.02471
685.5,0.02421
685.84,0.02335
686.19,0.02364
686.53,0.0237
686.87,0.02343
687.21,0.02234
687.55,0.02294
687.9,0.02322
688.24,0.02488
688.58,0.02435
688.92,0.02249
689.26,0.02241
689.6,0.02319
689.95,0.02442
690.29,0.02202
690.63,0.02412
690.97,0.02281
691.31,0.024
691.65,0.0243
691.99,0.02411
692.34,0.02295
692.68,0.02259
693.02,0.02311
693.36,0.02448
693.7,0.02334
694.04,0.02404
694.38,0.02304
694.72,0.02319
695.06,0.02437
695.4,0.02339
695.74,0.02465
696.09,0.02457
696.43,0.02345
696.77,0.02358
697.11,0.02416
697.45,0.02348
697.79,0.02301
698.13,0.02285
698.47,0.0226
698.81,0.02262
699.15,0.02281
699.49,0.02389
699.83,0.02333
700.17,0.02382
700.51,0.02401
700.85,0.0231
701.19,0.02286
701.53,0.02358
701.87,0.02314
702.21,0.02522
702.55,0.02281
702.89,0.02303
703.23,0.02368
703.57,0.02445
703.91,0.02235
704.25,0.02314
704.59,0.02242
704.93,0.02355
705.27,0.02266
705.61,0.0243
705.95,0.02428
706.28,0.02192
706.62,0.02363
706.96,0.0233
707.3,0.02391
707.64,0.02231
707.98,0.02386
708.32,0.02206
708.66,0.02364
709,0.02433
709.34,0.02312
709.68,0.02417
710.01,0.02486
710.35,0.02375
710.69,0.02461
711.03,0.02351
711.37,0.02365
711.71,0.02279
712.05,0.02157
712.38,0.02315
712.72,0.02324
713.06,0.0237
713.4,0.02269
713.74,0.02344
714.08,0.02315
714.41,0.02378
714.75,0.02353
715.09,0.02322
715.43,0.02297
715.77,0.02455
716.1,0.0225
716.44,0.02369
716.78,0.02417
717.12,0.02392
717.45,0.0234
717.79,0.02428
718.13,0.0246
718.47,0.02438
718.8,0.02035
719.14,0.02428
719.48,0.02227
719.82,0.02421
720.15,0.02322
720.49,0.02329
720.83,0.02348
721.17,0.02227
721.5,0.0248
721.84,0.0227
722.18,0.02248
722.51,0.02354
722.85,0.02352
723.19,0.02229
723.53,0.02324
723.86,0.02309
724.2,0.02377
724.54,0.0225
724.87,0.02274
725.21,0.0247
725.55,0.02318
725.88,0.02308
726.22,0.02339
726.55,0.02534
726.89,0.02486
727.23,0.02382
727.56,0.02335
727.9,0.0241
728.24,0.02448
728.57,0.02362
728.91,0.02476
729.24,0.02355
729.58,0.02281
729.92,0.02376
730.25,0.02256
730.59,0.02228
730.92,0.02427
731.26,0.0239
731.59,0.02462
731.93,0.02408
732.27,0.024
732.6,0.02408
732.94,0.02369
733.27,0.0238
733.61,0.02233
733.94,0.02311
734.28,0.02174
734.61,0.02152
734.95,0.02194
735.28,0.02254
735.62,0.02314
735.95,0.02347
736.29,0.02273
736.62,0.0217
736.96,0.02242
737.29,0.02362
737.63,0.02243
737.96,0.02348
738.3,0.02314
738.63,0.02314
738.97,0.02426
739.3,0.02321
739.64,0.02489
739.97,0.02228
740.31,0.02342
740.64,0.02387
740.97,0.0232
741.31,0.02491
741.64,0.02419
741.98,0.02392
742.31,0.02375
742.65,0.02266
742.98,0.02526
743.31,0.02423
743.65,0.02393
743.98,0.02344
744.32,0.02376
744.65,0.02303
744.98,0.02283
745.32,0.02209
745.65,0.02486
745.98,0.02352
746.32,0.02364
746.65,0.02424
746.98,0.02388
747.32,0.02471
747.65,0.02309
747.98,0.02445
748.32,0.02385
748.65,0.02375
748.98,0.02295
749.32,0.02275
749.65,0.02384
749.98,0.02491
750.32,0.02391
750.65,0.02394
750.98,0.02342
751.32,0.02484
751.65,0.02477
751.98,0.02425
752.31,0.02396
752.65,0.02351
752.98,0.02286
753.31,0.02218
753.64,0.02388
753.98,0.02425
754.31,0.0254
754.64,0.02431
754.97,0.02306
755.31,0.02414
755.64,0.02501
755.97,0.02312
756.3,0.02477
756.63,0.02506
756.97,0.02365
757.3,0.02393
757.63,0.0251
757.96,0.02333
758.29,0.02513
758.62,0.02444
758.96,0.02511
759.29,0.02454
759.62,0.02347
759.95,0.02598
760.28,0.02593
760.61,0.02435
760.95,0.0249
761.28,0.02469
761.61,0.02598
761.94,0.02555
762.27,0.02312
762.6,0.02593
762.93,0.02487
763.26,0.02337
763.6,0.02546
763.93,0.0255
764.26,0.02481
764.59,0.02627
764.92,0.02404
765.25,0.02583
765.58,0.02597
765.91,0.02504
766.24,0.02576
766.57,0.02453
766.9,0.02649
767.23,0.02569
767.56,0.02736
767.89,0.02698
768.22,0.02573
768.55,0.02521
768.89,0.02453
769.22,0.02637
769.55,0.02679
769.88,0.02631
770.21,0.02745
770.54,0.02529
770.87,0.02581
771.2,0.02531
771.53,0.02603
771.86,0.02587
772.18,0.02629
772.51,0.02506
772.84,0.02811
773.17,0.02648
773.5,0.02607
773.83,0.02578
774.16,0.0254
774.49,0.02506
774.82,0.02784
