wavelength_nm,reflectance
473.66,0.41354
474.03,0.38173
474.4,0.38938
474.76,0.38078
475.13,0.3773
475.5,0.36254
475.87,0.3758
476.23,0.37266
476.6,0.35383
476.97,0.36009
477.34,0.35779
477.7,0.37414
478.07,0.35801
478.44,0.33387
478.8,0.35918
479.17,0.3455
479.54,0.33713
479.91,0.32964
480.27,0.32824
480.64,0.33384
481.01,0.32745
481.37,0.32504
481.74,0.32128
482.11,0.321
482.47,0.32031
482.84,0.3222
483.21,0.32934
483.57,0.31955
483.94,0.33465
484.31,0.3127
484.67,0.30602
485.04,0.31908
485.4,0.29855
485.77,0.29721
486.14,0.29566
486.5,0.3096
486.87,0.30333
487.24,0.29193
487.6,0.30405
487.97,0.28827
488.33,0.30543
488.7,0.29368
489.07,0.29855
489.43,0.29673
489.8,0.2909
490.16,0.28775
490.53,0.28496
490.89,0.28276
491.26,0.27926
491.63,0.28884
491.99,0.28924
492.36,0.27642
492.72,0.27738
493.09,0.27748
493.45,0.28731
493.82,0.27752
494.18,0.26499
494.55,0.26926
494.92,0.26921
495.28,0.26595
495.65,0.26612
496.01,0.26948
496.38,0.2614
496.74,0.26298
497.11,0.25757
497.47,0.27178
497.84,0.25585
498.2,0.25988
498.57,0.25917
498.93,0.25701
499.3,0.25402
499.66,0.26085
500.03,0.25523
500.39,0.25533
500.75,0.25537
501.12,0.25309
501.48,0.25012
501.85,0.24836
502.21,0.24339
502.58,0.25369
502.94,0.24044
503.31,0.23639
503.67,0.24117
504.03,0.24269
504.4,0.24989
504.76,0.24452
505.13,0.24368
505.49,0.24095
505.86,0.23442
506.22,0.23831
506.58,0.22903
506.95,0.23515
507.31,0.23292
507.68,0.23503
508.04,0.22511
508.4,0.2308
508.77,0.21722
509.13,0.23269
509.49,0.23031
509.86,0.22896
510.22,0.22767
510.59,0.22674
510.95,0.21957
511.31,0.22912
511.68,0.22298
512.04,0.2226
512.4,0.22363
512.77,0.21775
513.13,0.21989
513.49,0.21632
513.86,0.21818
514.22,0.22066
514.58,0.21795
514.94,0.21755
515.31,0.21623
515.67,0.21682
516.03,0.21777
516.4,0.21458
516.76,0.21523
517.12,0.21376
517.49,0.21012
517.85,0.21478
518.21,0.21611
518.57,0.21407
518.94,0.21238
519.3,0.21061
519.66,0.20876
520.02,0.2159
520.39,0.21248
520.75,0.20893
521.11,0.20898
521.47,0.21335
521.84,0.21144
522.2,0.21022
522.56,0.20932
522.92,0.20832
523.28,0.20993
523.65,0.20994
524.01,0.2107
524.37,0.21034
524.73,0.21157
525.1,0.21013
525.46,0.21681
525.82,0.2083
526.18,0.21395
526.54,0.21511
526.9,0.21046
527.27,0.21185
527.63,0.21079
527.99,0.21149
528.35,0.21049
528.71,0.21174
529.07,0.21444
529.44,0.21227
529.8,0.2102
530.16,0.21154
530.52,0.211
530.88,0.20835
531.24,0.21151
531.6,0.2127
531.96,0.21096
532.33,0.20859
532.69,0.2094
533.05,0.21449
533.41,0.20964
533.77,0.21256
534.13,0.21279
534.49,0.21214
534.85,0.21055
535.21,0.21251
535.57,0.21212
535.93,0.2108
536.3,0.20581
536.66,0.20795
537.02,0.21317
537.38,0.2129
537.74,0.21514
538.1,0.20806
538.46,0.21039
538.82,0.21433
539.18,0.2124
539.54,0.21067
539.9,0.20976
540.26,0.21274
540.62,0.20823
540.98,0.21023
541.34,0.20918
541.7,0.2119
542.06,0.20377
542.42,0.21419
542.78,0.21094
543.14,0.21214
543.5,0.21181
543.86,0.21413
544.22,0.21387
544.58,0.21541
544.94,0.21389
545.3,0.21456
545.66,0.21266
546.02,0.21144
546.38,0.21522
546.74,0.21537
547.1,0.21799
547.46,0.21716
547.82,0.21262
548.17,0.21319
548.53,0.21358
548.89,0.21212
549.25,0.21372
549.61,0.21637
549.97,0.21941
550.33,0.22114
550.69,0.22501
551.05,0.21779
551.41,0.21876
551.77,0.22131
552.12,0.22005
552.48,0.2237
552.84,0.22227
553.2,0.22666
553.56,0.22298
553.92,0.2259
554.28,0.22924
554.64,0.22698
554.99,0.2308
555.35,0.22918
555.71,0.23032
556.07,0.22852
556.43,0.23054
556.79,0.2273
557.14,0.23584
557.5,0.23108
557.86,0.2354
558.22,0.2332
558.58,0.22974
558.93,0.23472
559.29,0.23431
559.65,0.23898
560.01,0.23827
560.37,0.23926
