wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,observed_r0_reflectance_fraction,package_static_prediction_fraction,residual_prediction_minus_observed,absolute_residual,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps,in_figure2_plotted_window
1150,260.689093913,35,38.3522229072,0.00981409743018,0.0160044231952,0.00619032576506,0.00619032576506,0.00132494558927,11,-0.6,-0.4,false
1150,260.689093913,36,39.0137585711,0.0082315280436,0.0149198506759,0.00668832263232,0.00668832263232,0.000938882441901,11,-0.6,-0.4,false
1150,260.689093913,37,39.6763222586,0.00695763448221,0.0136850004446,0.00672736596242,0.00672736596242,0.00104946363191,11,-0.6,-0.4,false
1150,260.689093913,38,40.3397973986,0.00636410725775,0.0122871802648,0.00592307300701,0.00592307300701,0.00154561095736,11,-0.6,-0.4,false
1150,260.689093913,39,41.0040682498,0.00378816356949,0.0107233265713,0.0069351630018,0.0069351630018,0.00175671327235,11,-0.6,-0.4,false
1150,260.689093913,40,41.6690197955,0.00333013344222,0.00901667150526,0.00568653806303,0.00568653806303,0.00189404032811,11,-0.6,-0.4,false
1150,260.689093913,41,42.3345376402,0.00398314688544,0.0072630217167,0.00327987483126,0.00327987483126,0.00112994056095,11,-0.6,-0.4,false
1150,260.689093913,42,43.0005079045,0.0068196670965,0.00578436098914,-0.00103530610736,0.00103530610736,0.00131984731676,11,-0.6,-0.4,false
1150,260.689093913,43,43.6668171225,0.0220177460722,0.00584918713293,-0.0161685589392,0.0161685589392,0.00213745848863,11,-0.6,-0.4,false
1150,260.689093913,44,44.3333521377,0.0920875950193,0.0214793319101,-0.0706082631092,0.0706082631092,0.00164439542889,11,-0.6,-0.4,false
1150,260.689093913,45,45,0.114721590292,0.0837209523179,-0.0310006379744,0.0310006379744,0.00170789271782,11,-0.6,-0.4,false
1150,260.689093913,46,45.6666478623,0.137575581315,0.117307566699,-0.0202680146153,0.0202680146153,0.00155117609196,11,-0.6,-0.4,false
1150,260.689093913,47,46.3331828775,0.155503304572,0.14659736905,-0.00890593552161,0.00890593552161,0.00138772849856,11,-0.6,-0.4,false
1150,260.689093913,48,46.9994920955,0.176989180741,0.173261253909,-0.0037279268326,0.0037279268326,0.00170088353939,11,-0.6,-0.4,false
