wavelength_nm,measured_rp,measured_rs,source_simulated_rp,source_simulated_rs,si_lossless_fixed_n3p5__none__semi_infinite_substrate_rp,si_lossless_fixed_n3p5__none__semi_infinite_substrate_rs,si_lossless_fixed_n3p5__none__incoherent_air_backside_upper_bound_rp,si_lossless_fixed_n3p5__none__incoherent_air_backside_upper_bound_rs,si_lossless_fixed_n3p5__sio2_2nm_between_tin_and_si__semi_infinite_substrate_rp,si_lossless_fixed_n3p5__sio2_2nm_between_tin_and_si__semi_infinite_substrate_rs,si_lossless_fixed_n3p5__sio2_2nm_between_tin_and_si__incoherent_air_backside_upper_bound_rp,si_lossless_fixed_n3p5__sio2_2nm_between_tin_and_si__incoherent_air_backside_upper_bound_rs,si_weak_absorbing_fixed_n3p7_k0p02__none__semi_infinite_substrate_rp,si_weak_absorbing_fixed_n3p7_k0p02__none__semi_infinite_substrate_rs,si_weak_absorbing_fixed_n3p7_k0p02__none__incoherent_air_backside_upper_bound_rp,si_weak_absorbing_fixed_n3p7_k0p02__none__incoherent_air_backside_upper_bound_rs,si_weak_absorbing_fixed_n3p7_k0p02__sio2_2nm_between_tin_and_si__semi_infinite_substrate_rp,si_weak_absorbing_fixed_n3p7_k0p02__sio2_2nm_between_tin_and_si__semi_infinite_substrate_rs,si_weak_absorbing_fixed_n3p7_k0p02__sio2_2nm_between_tin_and_si__incoherent_air_backside_upper_bound_rp,si_weak_absorbing_fixed_n3p7_k0p02__sio2_2nm_between_tin_and_si__incoherent_air_backside_upper_bound_rs,si_synthetic_blue_absorbing_dispersion__none__semi_infinite_substrate_rp,si_synthetic_blue_absorbing_dispersion__none__semi_infinite_substrate_rs,si_synthetic_blue_absorbing_dispersion__none__incoherent_air_backside_upper_bound_rp,si_synthetic_blue_absorbing_dispersion__none__incoherent_air_backside_upper_bound_rs,si_synthetic_blue_absorbing_dispersion__sio2_2nm_between_tin_and_si__semi_infinite_substrate_rp,si_synthetic_blue_absorbing_dispersion__sio2_2nm_between_tin_and_si__semi_infinite_substrate_rs,si_synthetic_blue_absorbing_dispersion__sio2_2nm_between_tin_and_si__incoherent_air_backside_upper_bound_rp,si_synthetic_blue_absorbing_dispersion__sio2_2nm_between_tin_and_si__incoherent_air_backside_upper_bound_rs
300.0,0.0437279,0.278213,0.0511996,0.304599,0.052032857065783346,0.3077109575341356,0.0520328570712757,0.30771095753761474,0.05203278604174018,0.3077107649950611,0.05203278604691234,0.3077107649982088,0.052032877106913004,0.30771099980132954,0.052032877112700444,0.30771099980501904,0.05203279975472111,0.3077107913817618,0.052032799760144605,0.30771079138507534,0.05203276490024894,0.30771079985520994,0.052032764905680685,0.3077107998587284,0.05203263338952008,0.3077104703724557,0.05203263339435233,0.3077104703753775
310.0,0.0396108,0.26758,0.125436,0.422877,0.11879961692584604,0.41365666574574766,0.1187996173267883,0.41365666595430933,0.11880055865689793,0.4136584294272891,0.11880055903853588,0.413658429619237,0.11879981995109334,0.41365694820867094,0.11879982037490205,0.41365694843069994,0.11880082732938972,0.41365881721419673,0.11880082773113684,0.4136588174172673,0.11880502588119081,0.4136638605530923,0.11880502631381117,0.4136638607867084,0.11880626879201549,0.41366599194383813,0.1188062691836012,0.41366599214312255
320.0,0.0310284,0.246658,0.0409908,0.255734,0.02765189673972126,0.22544359185148255,0.02765191649876487,0.22544360591877607,0.027652473106755334,0.225442139790469,0.027652492077884335,0.22544215291450723,0.027649730892520756,0.22543791951435316,0.027649751727566542,0.22543793439787002,0.02765042320999576,0.2254366486677338,0.02765044314590494,0.22543666248074895,0.02763427733552672,0.22539032393750974,0.02763429906741074,0.22539033939147674,0.027637288155671236,0.22539503702019364,0.02763730815482459,0.2253950505390014
330.0,0.0525166,0.295135,0.0162154,0.200082,0.02658970160073758,0.23083909421504656,0.026590056828010817,0.23083934492244015,0.02659094165637101,0.2308268315392884,0.026591284905284264,0.23082706778221418,0.026598923331368846,0.23086227750068414,0.026599297314789785,0.23086254214548532,0.026599991580660207,0.23084817480149797,0.02660035191681506,0.23084842307438988,0.026675543723806313,0.2310095162040762,0.026675942265143186,0.23100979637580965,0.026669828872323033,0.23096744967022137,0.02667020074431061,0.23096769993519728
340.0,0.0787512,0.349156,0.0707809,0.332908,0.08311116420546986,0.3603357782003228,0.08311370150804863,0.36033720847497264,0.08316946969603663,0.3604670068462208,0.08317193214684802,0.36046836333750115,0.08310299243376794,0.3603331983703019,0.08310566156258312,0.3603347089032857,0.08316594913971187,0.36047320109048064,0.08316853312429397,0.3604746281676536,0.08321263270332807,0.36058546417494025,0.08321553428877354,0.36058712150748806,0.08331126470785603,0.36078071587458754,0.08331400074357559,0.36078221931276755
350.0,0.0776558,0.34134,0.0909548,0.376016,0.09819904488215297,0.38752916858985076,0.09820949390921241,0.3875347569556445,0.09818976130936939,0.38752220969545903,0.09819993285849432,0.3875275346277396,0.0981040518697139,0.3873846409891425,0.09811502478735634,0.3873905317583633,0.09809637700521999,0.3873825430602574,0.09810703515464109,0.3873881367659705,0.0973808338680372,0.38635114918821833,0.09739283814709822,0.3863576622176823,0.09742414803883546,0.38645064111554756,0.09743555640891963,0.3864566187817597
360.0,0.0563605,0.281693,0.0767779,0.345855,0.07998603564140062,0.3437783027347646,0.0800155257470364,0.34379555065795914,0.07980052048341538,0.3433594995741292,0.0798292903802833,0.3433759948445606,0.07994844523988803,0.34373155363920443,0.07997933334608408,0.3437496568575984,0.07975008151307997,0.3432878562542928,0.07978015574734515,0.343305115605697,0.07926317920777162,0.3427467104004859,0.07929686005971157,0.34276645036171316,0.07899261644437877,0.3421693083623491,0.07902481870919584,0.34218760125184905
370.0,0.0292854,0.199164,0.0583837,0.295529,0.05027772975539761,0.2637385609243582,0.05033990077839224,0.2637810174274658,0.05015780023546804,0.26352596739702955,0.050218526165712346,0.2635666134239923,0.05041067225785026,0.264043652644601,0.050475605696502224,0.26408797265642425,0.05027918485970862,0.263807939414645,0.0503424926712633,0.26385024541756286,0.051106942004281536,0.26577185947702436,0.05117726332975061,0.2658190239405833,0.05086529952449827,0.2653032488088783,0.050932809781636584,0.2653471948380153
380.0,0.0091204,0.127059,0.0369586,0.226688,0.022564858313587375,0.17468445815929332,0.0226687589309975,0.17476777600587362,0.022651354794297265,0.1752190839019082,0.022752916824258684,0.17529882186778506,0.022696414780798254,0.17491951204934647,0.02280467282066804,0.175006112917019,0.02278644672174464,0.17547883827682617,0.02289208453422646,0.17556148187347667,0.023718506276819585,0.17700440002707601,0.02383525450549332,0.17709505079460722,0.023805502051218924,0.1776551054807032,0.02391790938143794,0.17773977820035328
390.0,0.000542849,0.0974151,0.0143937,0.14706,0.004965502981120137,0.11011261752600615,0.005109121994841839,0.11024165816410439,0.005063511191919344,0.11053138271795385,0.005204031758327767,0.11065504861216223,0.004972940041770012,0.10983737248452356,0.005122272714503784,0.10997110563302955,0.005077839204361143,0.11029007977538617,0.005223712014970963,0.11041789373658485,0.005143763038485346,0.10847556439188964,0.005304555626531337,0.10861498111952493,0.005291837627853957,0.10917716926156228,0.005447089458444839,0.10930791014053166
