Wavelength,TiN real part of permittivity,Wavelength,AZO real part of permittivity,Wavelength,TiN imaginary part of permittivity,Wavelength,AZO imaginary part of permittivity
nm,,nm,,nm,,nm,
Film thickness 130 nm,,Film thickness 250 nm,,,,,
1200,-32.6223081,1200,0.77462821,1200,11.2349822,1200,0.367396387
1210,-33.2410227,1210,0.7299035,1210,11.4426817,1210,0.376300473
1220,-33.8641001,1220,0.684862081,1220,11.653174,1220,0.385351067
1230,-34.491526,1230,0.639503843,1230,11.8664755,1230,0.394549173
1240,-35.1232857,1240,0.593828711,1240,12.082603,1240,0.403895792
1250,-35.7593646,1250,0.547836649,1250,12.3015728,1250,0.413391924
1260,-36.3997476,1260,0.50152765,1260,12.5234015,1260,0.423038568
1270,-37.0444197,1270,0.454901744,1270,12.7481054,1270,0.432836721
1280,-37.6933657,1280,0.407958987,1280,12.9757007,1280,0.442787378
1290,-38.3465702,1290,0.36069947,1290,13.2062036,1290,0.452891532
1300,-39.0040177,1300,0.313123305,1300,13.4396303,1300,0.463150174
1310,-39.6656925,1310,0.265230638,1310,13.6759966,1310,0.473564294
1320,-40.331579,1320,0.217021635,1320,13.9153186,1320,0.484134878
1330,-41.0016611,1330,0.168496489,1330,14.1576119,1330,0.49486291
1340,-41.6759228,1340,0.119655417,1340,14.4028924,1340,0.505749373
1350,-42.354348,1350,0.0704986564,1350,14.6511756,1350,0.516795246
1360,-43.0369204,1360,0.0210264687,1360,14.9024769,1360,0.528001507
1370,-43.7236237,1370,-0.0287608653,1370,15.1568119,1370,0.539369129
1380,-44.4144412,1380,-0.0788630446,1380,15.4141958,1380,0.550899084
1390,-45.1093565,1390,-0.129279749,1390,15.6746438,1390,0.562592341
1400,-45.8083528,1400,-0.18001064,1400,15.938171,1400,0.574449867
1410,-46.5114132,1410,-0.231055361,1410,16.2047924,1410,0.586472623
1420,-47.2185209,1420,-0.282413539,1420,16.4745228,1420,0.598661572
1430,-47.9296589,1430,-0.334084783,1430,16.747377,1430,0.611017669
1440,-48.6448099,1440,-0.386068688,1440,17.0233697,1440,0.62354187
1450,-49.3639568,1450,-0.438364834,1450,17.3025154,1450,0.636235124
