Spectroscopic Data at 21.686 min.	
Wavelength (nm)	s-Intensity
604	0.37786
605	0.377777
606	0.378093
607	0.378325
608	0.378427
609	0.378105
610	0.377803
611	0.378166
612	0.378529
613	0.378987
614	0.378532
615	0.378227
616	0.378026
617	0.378094
618	0.37822
619	0.37802
620	0.377596
621	0.376978
622	0.376522
623	0.376765
624	0.377214
625	0.377104
626	0.376928
627	0.37651
628	0.376596
629	0.376985
630	0.37723
631	0.377322
632	0.377235
633	0.376601
634	0.376145
635	0.376596
636	0.376858
637	0.377143
638	0.376674
639	0.376172
640	0.375698
641	0.375413
642	0.375785
643	0.376321
644	0.376613
645	0.375977
646	0.375505
647	0.375163
648	0.375492
649	0.375761
650	0.376069
651	0.376242
652	0.375763
653	0.375041
654	0.374991
655	0.375317
656	0.375957
657	0.376451
658	0.376375
659	0.375782
660	0.375253
661	0.37503
662	0.375479
663	0.376175
664	0.376218
665	0.375991
666	0.375125
667	0.374503
668	0.374621
669	0.374986
670	0.37592
671	0.376075
672	0.376242
673	0.375887
674	0.375244
675	0.375414
676	0.375854
677	0.376725
678	0.377084
679	0.377087
680	0.376251
681	0.375437
682	0.375295
683	0.375953
684	0.376884
685	0.377385
686	0.377427
687	0.376673
688	0.375764
689	0.375908
690	0.375948
691	0.376503
692	0.377416
693	0.377952
694	0.377451
695	0.376754
696	0.376419
697	0.37646
698	0.376969
699	0.378105
700	0.379236
701	0.379396
702	0.379427
703	0.378707
704	0.377993
705	0.37795
706	0.378847
707	0.379955
708	0.380474
709	0.380741
710	0.380355
711	0.379376
712	0.378898
713	0.378818
714	0.379195
715	0.380401
716	0.381251
717	0.381442
718	0.380885
719	0.380367
720	0.379339
721	0.379521
722	0.380569
723	0.381678
724	0.383242
725	0.383756
726	0.383808
727	0.383171
728	0.382811
729	0.382741
730	0.383145
731	0.384145
732	0.385457
733	0.386115
734	0.385934
735	0.385469
736	0.384358
737	0.3839
738	0.384007
739	0.384519
740	0.38555
741	0.386577
742	0.386979
743	0.387003
744	0.386341
745	0.385329
746	0.38481
747	0.385374
748	0.386832
749	0.388375
750	0.389182
751	0.390077
752	0.39045
753	0.389773
754	0.389172
755	0.389008
756	0.389514
757	0.39044
758	0.392145
759	0.393128
760	0.393372
761	0.39322
762	0.392362
763	0.390945
764	0.390035
765	0.390754
766	0.392298
767	0.393138
768	0.394221
769	0.395296
770	0.395567
771	0.394519
772	0.393592
773	0.393413
774	0.393134
775	0.393331
776	0.394838
777	0.396919
778	0.398215
779	0.398471
780	0.39906
781	0.398938
782	0.398085
783	0.398167
784	0.398797
785	0.399503
786	0.400665
787	0.401584
788	0.402455
789	0.403522
790	0.403266
791	0.403209
792	0.402104
793	0.401596
794	0.401195
795	0.401146
796	0.402105
797	0.403885
798	0.404649
799	0.40481
800	0.405241
801	0.404486
802	0.403331
803	0.402339
804	0.402326
805	0.403748
806	0.404589
807	0.406097
808	0.407937
809	0.409694
810	0.409653
811	0.409254
812	0.409209
813	0.408996
814	0.408291
815	0.408405
816	0.409376
817	0.411306
818	0.412232
819	0.412403
820	0.412052
821	0.410842
822	0.409567
823	0.409189
824	0.409969
825	0.41069
826	0.411026
827	0.41059
828	0.411727
829	0.414232
830	0.416186
831	0.416409
832	0.41515
833	0.413593
834	0.412647
835	0.413076
836	0.413426
837	0.413464
838	0.414873
839	0.416551
840	0.417564
841	0.418458
842	0.420221
843	0.421691
844	0.422607
845	0.422039
846	0.42037
847	0.419886
848	0.421555
849	0.422346
850	0.42314
851	0.424051
852	0.426251
853	0.427507
854	0.428109
855	0.426679
856	0.425463
857	0.425018
858	0.424629
859	0.423875
860	0.423325
861	0.423515
862	0.42551
863	0.426734
864	0.427772
865	0.427998
866	0.427469
867	0.428193
868	0.42795
869	0.42642
870	0.424226
871	0.423979
872	0.425632
873	0.426873
874	0.42788
875	0.428656
876	0.430355
877	0.432064
878	0.43247
879	0.430792
880	0.428952
881	0.428294
882	0.428769
883	0.430006
884	0.431128
885	0.431994
886	0.433141
887	0.434967
888	0.437202
889	0.438633
890	0.438126
891	0.437513
892	0.43721
893	0.436294
894	0.434268
895	0.433043
896	0.433227
897	0.434085
898	0.435472
899	0.437095
900	0.437951
901	0.437854
902	0.43754
903	0.437181
904	0.437811
905	0.439557
906	0.439903
907	0.439157
908	0.438395
909	0.438245
910	0.438981
911	0.439032
912	0.43866
913	0.438725
914	0.43892
915	0.440276
916	0.442114
917	0.44381
918	0.444544
919	0.444283
920	0.444248
921	0.44502
922	0.445124
923	0.444365
924	0.444051
925	0.444301
926	0.445425
927	0.447615
928	0.449028
929	0.450014
930	0.44996
931	0.45001
932	0.450483
933	0.450755
934	0.450163
935	0.448559
936	0.447017
937	0.445611
938	0.445493
939	0.446312
940	0.447544
941	0.448545
942	0.449101
943	0.449823
944	0.451004
945	0.451778
946	0.452018
947	0.452151
948	0.451113
949	0.449974
950	0.449286
951	0.449775
952	0.450068
953	0.450182
954	0.450791
955	0.451221
956	0.452404
957	0.454581
958	0.45635
959	0.457201
960	0.457314
961	0.457334
962	0.457512
963	0.45723
964	0.456976
965	0.456603
966	0.455979
967	0.455167
968	0.454861
969	0.455267
970	0.456102
971	0.457367
972	0.458535
973	0.458959
974	0.459725
975	0.460763
976	0.460883
977	0.460296
978	0.458861
979	0.457545
980	0.457107
981	0.4582
982	0.459137
983	0.459102
984	0.460192
985	0.460751
986	0.461298
987	0.462441
988	0.463681
989	0.463889
990	0.463696
991	0.462752
992	0.462738
993	0.46329
994	0.465186
995	0.46579
996	0.466653
997	0.466173
998	0.466706
999	0.466441
1000	0.466064
1006	0.444474
1012	0.446295
1018	0.449033
1024	0.450338
1030	0.453358
1036	0.456158
1042	0.458169
1048	0.459827
1054	0.460005
1060	0.458662
1066	0.458043
1072	0.457899
1078	0.460547
1084	0.465045
1090	0.467964
1096	0.468656
1102	0.467698
1108	0.468151
1114	0.467512
1120	0.467285
1126	0.46707
1132	0.468717
1138	0.471898
1144	0.476834
1150	0.479156
1156	0.482382
1162	0.482231
1168	0.481173
1174	0.479721
1180	0.477902
1186	0.477318
1192	0.476922
1198	0.478424
1204	0.480975
1210	0.485843
1216	0.489383
1222	0.492118
1228	0.493181
1234	0.494071
1240	0.491905
1246	0.48895
1252	0.487114
1258	0.48819
1264	0.490648
1270	0.492016
1276	0.493967
1282	0.495444
1288	0.498309
1294	0.500811
1300	0.502258
1306	0.502423
1312	0.50287
1318	0.502161
1324	0.499782
1330	0.498908
1336	0.498198
1342	0.499394
1348	0.499955
1354	0.500206
1360	0.502838
1366	0.506831
1372	0.511497
1378	0.513623
1384	0.51373
1390	0.513475
1396	0.512531
1402	0.512762
1408	0.511458
1414	0.509948
1420	0.509217
1426	0.508743
1432	0.509688
1438	0.511135
1444	0.511235
1450	0.511957
1456	0.512502
1462	0.513743
1468	0.516049
1474	0.520675
1480	0.521866
1486	0.522546
1492	0.522056
1498	0.521145
1504	0.521264
1510	0.521569
1516	0.521136
1522	0.520303
1528	0.519537
1534	0.519526
1540	0.521526
1546	0.523596
1552	0.524892
1558	0.525162
1564	0.52525
1570	0.525225
1576	0.525919
1582	0.527649
1588	0.528851
1594	0.528509
1600	0.52816
1606	0.528926
1612	0.530223
1618	0.53106
1624	0.532739
1630	0.534129
1636	0.534173
1642	0.534956
1648	0.532895
1654	0.534786
1660	0.535512
1666	0.535933
1672	0.53689
1678	0.537746
1684	0.53743
1690	0.535993
1696	0.535361
1702	0.535772
1708	0.536802
1714	0.53774
1720	0.538682
1726	0.53902
1732	0.538651
1738	0.53836
1744	0.538827
1750	0.540343
1756	0.542827
1762	0.545283
1768	0.546863
1774	0.548137
1780	0.548739
1786	0.547743
1792	0.54858
1798	0.548686
1804	0.551638
1810	0.551799
1816	0.552789
1822	0.55235
1828	0.549607
1834	0.548325
1840	0.546802
1846	0.546054
1852	0.545608
1858	0.54656
1864	0.548021
1870	0.549192
1876	0.549424
1882	0.54889
1888	0.54918
1894	0.548715
1900	0.548901
1906	0.551109
1912	0.553508
1918	0.557157
1924	0.561335
1930	0.563696
1936	0.565492
1942	0.564673
1948	0.564523
1954	0.563346
1960	0.562782
1966	0.564212
1972	0.564773
1978	0.564822
