Spectroscopic Data at 9.162 min.	
Wavelength (nm)	s-Intensity
604	0.353475
605	0.353939
606	0.354408
607	0.354975
608	0.355638
609	0.35598
610	0.355594
611	0.35482
612	0.354476
613	0.354406
614	0.354394
615	0.354539
616	0.354751
617	0.355231
618	0.355976
619	0.357404
620	0.358788
621	0.359686
622	0.360228
623	0.360408
624	0.360851
625	0.361054
626	0.361571
627	0.361712
628	0.361538
629	0.361089
630	0.360865
631	0.361101
632	0.361097
633	0.36115
634	0.36134
635	0.36192
636	0.3622
637	0.362819
638	0.363803
639	0.364856
640	0.365842
641	0.366589
642	0.367349
643	0.36776
644	0.368426
645	0.369089
646	0.369266
647	0.368992
648	0.36869
649	0.368286
650	0.368241
651	0.368456
652	0.368808
653	0.369149
654	0.369697
655	0.370212
656	0.370357
657	0.370996
658	0.372322
659	0.373584
660	0.374639
661	0.37513
662	0.375531
663	0.375945
664	0.376685
665	0.37736
666	0.377969
667	0.378389
668	0.378577
669	0.378229
670	0.37834
671	0.378396
672	0.378997
673	0.379815
674	0.380236
675	0.380811
676	0.381257
677	0.381501
678	0.382015
679	0.383187
680	0.38436
681	0.384779
682	0.385177
683	0.385982
684	0.38626
685	0.38681
686	0.387505
687	0.388342
688	0.388985
689	0.389096
690	0.389182
691	0.389764
692	0.390027
693	0.390276
694	0.391005
695	0.391933
696	0.392521
697	0.392644
698	0.39334
699	0.393498
700	0.393728
701	0.394304
702	0.395052
703	0.39567
704	0.396228
705	0.39688
706	0.397451
707	0.398277
708	0.398367
709	0.398899
710	0.400038
711	0.400483
712	0.401144
713	0.401906
714	0.402752
715	0.403154
716	0.403442
717	0.404537
718	0.405218
719	0.406065
720	0.406594
721	0.406624
722	0.406847
723	0.407216
724	0.407444
725	0.407681
726	0.408096
727	0.408807
728	0.409363
729	0.409761
730	0.410201
731	0.411075
732	0.411867
733	0.412251
734	0.412831
735	0.41373
736	0.41478
737	0.415945
738	0.416475
739	0.417121
740	0.417923
741	0.418857
742	0.419369
743	0.419645
744	0.420287
745	0.421103
746	0.421344
747	0.421617
748	0.421545
749	0.42175
750	0.422208
751	0.422107
752	0.422359
753	0.422735
754	0.422915
755	0.422908
756	0.42373
757	0.424406
758	0.424768
759	0.425883
760	0.426693
761	0.427253
762	0.429164
763	0.431138
764	0.433011
765	0.433759
766	0.433917
767	0.433869
768	0.434021
769	0.434614
770	0.434846
771	0.435601
772	0.435952
773	0.436322
774	0.436722
775	0.436442
776	0.436582
777	0.436596
778	0.436419
779	0.436231
780	0.436342
781	0.436666
782	0.437265
783	0.437954
784	0.437927
785	0.438631
786	0.439669
787	0.440401
788	0.441568
789	0.443155
790	0.443904
791	0.445029
792	0.446021
793	0.447075
794	0.448042
795	0.448572
796	0.449686
797	0.450633
798	0.45108
799	0.451057
800	0.451712
801	0.452274
802	0.452222
803	0.451814
804	0.451408
805	0.451453
806	0.451719
807	0.451595
808	0.450976
809	0.450982
810	0.450942
811	0.451127
812	0.451197
813	0.45161
814	0.452077
815	0.452699
816	0.454289
817	0.455477
818	0.4568
819	0.458138
820	0.459977
821	0.462617
822	0.465472
823	0.467261
824	0.467361
825	0.466953
826	0.466787
827	0.467819
828	0.468712
829	0.46847
830	0.467341
831	0.466472
832	0.466887
833	0.468089
834	0.469471
835	0.469718
836	0.468285
837	0.46687
838	0.466287
839	0.466343
840	0.467276
841	0.468123
842	0.467244
843	0.466167
844	0.465488
845	0.464936
846	0.464954
847	0.46642
848	0.46787
849	0.468477
850	0.469577
851	0.470406
852	0.471179
853	0.47222
854	0.473488
855	0.474473
856	0.474609
857	0.474831
858	0.476426
859	0.477042
860	0.47841
861	0.480046
862	0.479925
863	0.480747
864	0.481603
865	0.482074
866	0.482298
867	0.482476
868	0.482133
869	0.482436
870	0.481684
871	0.481295
872	0.482306
873	0.482171
874	0.482245
875	0.482291
876	0.482354
877	0.483018
878	0.484023
879	0.484997
880	0.487098
881	0.488788
882	0.489959
883	0.489989
884	0.489208
885	0.488091
886	0.487482
887	0.487442
888	0.488003
889	0.489029
890	0.490103
891	0.49079
892	0.492044
893	0.493952
894	0.496294
895	0.4976
896	0.497502
897	0.496905
898	0.496414
899	0.496866
900	0.496751
901	0.496851
902	0.497703
903	0.499988
904	0.501675
905	0.501459
906	0.499506
907	0.497198
908	0.495926
909	0.49564
910	0.496101
911	0.496996
912	0.497865
913	0.499122
914	0.500893
915	0.503695
916	0.504605
917	0.50407
918	0.502164
919	0.500716
920	0.499864
921	0.500071
922	0.500233
923	0.500676
924	0.500891
925	0.501321
926	0.502184
927	0.502887
928	0.503835
929	0.504404
930	0.505358
931	0.506176
932	0.505943
933	0.50635
934	0.507287
935	0.508355
936	0.508491
937	0.509825
938	0.510592
939	0.511692
940	0.512301
941	0.513258
942	0.513796
943	0.513439
944	0.513673
945	0.513491
946	0.513501
947	0.513794
948	0.513512
949	0.513131
950	0.513611
951	0.514045
952	0.514464
953	0.514361
954	0.514462
955	0.514581
956	0.514403
957	0.514453
958	0.514275
959	0.514487
960	0.51472
961	0.514348
962	0.514447
963	0.513434
964	0.514405
965	0.515214
966	0.514936
967	0.51597
968	0.516618
969	0.517272
970	0.517676
971	0.518382
972	0.519129
973	0.519716
974	0.520026
975	0.520932
976	0.52071
977	0.52166
978	0.522542
979	0.523807
980	0.525243
981	0.525109
982	0.524328
983	0.523093
984	0.522828
985	0.522735
986	0.522545
987	0.52362
988	0.524281
989	0.525577
990	0.52711
991	0.528374
992	0.52923
993	0.530313
994	0.529458
995	0.529011
996	0.528288
997	0.526877
998	0.526884
999	0.526517
1000	0.526256
1006	0.5467
1012	0.544336
1018	0.544788
1024	0.543883
1030	0.543784
1036	0.543937
1042	0.545327
1048	0.549149
1054	0.552118
1060	0.553366
1066	0.551398
1072	0.546087
1078	0.544807
1084	0.548508
1090	0.553492
1096	0.556192
1102	0.55652
1108	0.560879
1114	0.564218
1120	0.566265
1126	0.563602
1132	0.56083
1138	0.559275
1144	0.559719
1150	0.559775
1156	0.563395
1162	0.565704
1168	0.568852
1174	0.573551
1180	0.576239
1186	0.576657
1192	0.57409
1198	0.572198
1204	0.569912
1210	0.570878
1216	0.572136
1222	0.574892
1228	0.578506
1234	0.581444
1240	0.581017
1246	0.579441
1252	0.576962
1258	0.576788
1264	0.577546
1270	0.577851
1276	0.579831
1282	0.579802
1288	0.581851
1294	0.583831
1300	0.585815
1306	0.587354
1312	0.588755
1318	0.589754
1324	0.588339
1330	0.587913
1336	0.585907
1342	0.586155
1348	0.584177
1354	0.582839
1360	0.585567
1366	0.588486
1372	0.592306
1378	0.594641
1384	0.5959
1390	0.597334
1396	0.596627
1402	0.596706
1408	0.595318
1414	0.594606
1420	0.595825
1426	0.596094
1432	0.597329
1438	0.59796
1444	0.594645
1450	0.593554
1456	0.592322
1462	0.59134
1468	0.593
1474	0.59847
1480	0.600804
1486	0.60391
1492	0.605408
1498	0.605297
1504	0.604976
1510	0.603872
1516	0.602336
1522	0.601407
1528	0.600399
1534	0.599282
1540	0.599997
1546	0.601198
1552	0.602686
1558	0.603801
1564	0.604266
1570	0.604109
1576	0.603922
1582	0.604036
1588	0.60371
1594	0.602238
1600	0.603341
1606	0.604515
1612	0.60623
1618	0.605978
1624	0.606877
1630	0.607414
1636	0.606173
1642	0.60739
1648	0.605236
1654	0.607586
1660	0.607511
1666	0.606819
1672	0.607949
1678	0.609124
1684	0.609124
1690	0.609444
1696	0.60999
1702	0.610507
1708	0.60868
1714	0.608017
1720	0.607678
1726	0.60745
1732	0.607426
1738	0.607678
1744	0.60924
1750	0.610272
1756	0.611137
1762	0.611419
1768	0.611144
1774	0.611369
1780	0.611733
1786	0.611214
1792	0.613732
1798	0.614727
1804	0.61642
1810	0.615814
1816	0.616846
1822	0.617127
1828	0.615282
1834	0.614821
1840	0.614987
1846	0.614549
1852	0.614197
1858	0.614071
1864	0.614403
1870	0.613841
1876	0.612342
1882	0.611261
1888	0.610356
1894	0.613781
1900	0.613179
1906	0.614401
1912	0.614935
1918	0.615887
1924	0.617024
1930	0.61694
1936	0.617085
1942	0.615783
1948	0.618633
1954	0.618165
1960	0.618708
1966	0.620343
1972	0.620985
1978	0.62109
1984	0.621699
1990	0.619305
1996	0.620179
2002	0.617252
2008	0.616314
2014	0.616426
2020	0.616684
2026	0.616399
2032	0.616534
2038	0.617324
2044	0.615478
2050	0.615326
2056	0.61322
2062	0.612887
2068	0.612705
2074	0.612497
2080	0.612016
2086	0.612118
2092	0.613884
2098	0.616955
2104	0.619175
2110	0.61993
2116	0.620284
2122	0.622498
2128	0.623453
2134	0.622515
2140	0.622174
2146	0.623027
2152	0.623832
2158	0.624333
2164	0.625262
2170	0.626758
2176	0.628797
2182	0.628617
2188	0.628761
2194	0.627735
2200	0.625472
2206	0.625196
2212	0.624107
