Spectroscopic Data at 4.061 min.	
Wavelength (nm)	Intensity
605	0.324323
606	0.325479
607	0.326853
608	0.32713
609	0.327936
610	0.328417
611	0.3285
612	0.329237
613	0.33015
614	0.330851
615	0.331574
616	0.332185
617	0.332378
618	0.333008
619	0.333932
620	0.334483
621	0.335341
622	0.336165
623	0.337322
624	0.338507
625	0.339478
626	0.340112
627	0.340494
628	0.340859
629	0.341131
630	0.341774
631	0.342663
632	0.343094
633	0.343945
634	0.344715
635	0.34549
636	0.346193
637	0.347527
638	0.348456
639	0.349615
640	0.350394
641	0.351115
642	0.351865
643	0.352345
644	0.353198
645	0.354102
646	0.354684
647	0.35488
648	0.355577
649	0.356633
650	0.35728
651	0.35807
652	0.358383
653	0.358859
654	0.359749
655	0.360031
656	0.361412
657	0.362679
658	0.363553
659	0.364147
660	0.365196
661	0.366219
662	0.366466
663	0.367682
664	0.368762
665	0.369472
666	0.369823
667	0.370363
668	0.370931
669	0.371005
670	0.372051
671	0.37294
672	0.373454
673	0.373924
674	0.374537
675	0.375073
676	0.376036
677	0.377103
678	0.378193
679	0.379337
680	0.380167
681	0.380722
682	0.381029
683	0.381649
684	0.382693
685	0.383556
686	0.384126
687	0.384799
688	0.385207
689	0.385477
690	0.386469
691	0.387074
692	0.387956
693	0.388672
694	0.389613
695	0.389963
696	0.390646
697	0.391308
698	0.392591
699	0.3934
700	0.394302
701	0.395278
702	0.396249
703	0.396067
704	0.396516
705	0.39779
706	0.398699
707	0.399492
708	0.400069
709	0.400645
710	0.401661
711	0.402041
712	0.401698
713	0.402054
714	0.403138
715	0.404017
716	0.4048
717	0.406016
718	0.406178
719	0.406522
720	0.407301
721	0.408064
722	0.408534
723	0.409775
724	0.411177
725	0.411528
726	0.412346
727	0.413031
728	0.41366
729	0.414193
730	0.414211
731	0.414622
732	0.415578
733	0.416373
734	0.417088
735	0.417349
736	0.417922
737	0.418344
738	0.418853
739	0.419903
740	0.420696
741	0.421422
742	0.422359
743	0.422862
744	0.423225
745	0.423931
746	0.424209
747	0.425241
748	0.425597
749	0.426844
750	0.428052
751	0.429247
752	0.429154
753	0.428809
754	0.429048
755	0.430124
756	0.430539
757	0.431557
758	0.432821
759	0.433452
760	0.434077
761	0.434021
762	0.43395
763	0.434571
764	0.43396
765	0.434081
766	0.435275
767	0.436747
768	0.438219
769	0.439393
770	0.440016
771	0.440539
772	0.441014
773	0.441181
774	0.441567
775	0.442759
776	0.443718
777	0.444297
778	0.445244
779	0.445209
780	0.446067
781	0.446542
782	0.446342
783	0.445995
784	0.447257
785	0.448006
786	0.448877
787	0.449395
788	0.450124
789	0.450142
790	0.450342
791	0.45009
792	0.451295
793	0.452076
794	0.452935
795	0.453897
796	0.454105
797	0.454997
798	0.455684
799	0.456223
800	0.457056
801	0.457137
802	0.45733
803	0.457787
804	0.459001
805	0.460147
806	0.460345
807	0.461058
808	0.462029
809	0.462842
810	0.462847
811	0.462213
812	0.462418
813	0.46235
814	0.463391
815	0.46426
816	0.465155
817	0.466327
818	0.4672
819	0.467566
820	0.466893
821	0.466201
822	0.465119
823	0.464951
824	0.465106
825	0.465145
826	0.46624
827	0.467248
828	0.468143
829	0.469236
830	0.470667
831	0.472173
832	0.472212
833	0.471925
834	0.470941
835	0.470629
836	0.471229
837	0.472856
838	0.474135
839	0.475774
840	0.476332
841	0.475934
842	0.476167
843	0.477104
844	0.477834
845	0.477869
846	0.478125
847	0.478343
848	0.479188
849	0.480099
850	0.480583
851	0.481643
852	0.483796
853	0.484415
854	0.484876
855	0.484888
856	0.483929
857	0.484127
858	0.484846
859	0.48488
860	0.485477
861	0.485881
862	0.487934
863	0.488282
864	0.48793
865	0.488762
866	0.488813
867	0.488889
868	0.489133
869	0.488755
870	0.488714
871	0.48887
872	0.489085
873	0.490256
874	0.491211
875	0.491239
876	0.491526
877	0.491729
878	0.491335
879	0.490625
880	0.488881
881	0.488812
882	0.491391
883	0.491781
884	0.491063
885	0.491385
886	0.49212
887	0.494189
888	0.495466
889	0.496179
890	0.496284
891	0.496463
892	0.496395
893	0.496073
894	0.49457
895	0.494216
896	0.494939
897	0.495691
898	0.497306
899	0.499285
900	0.500214
901	0.501253
902	0.501113
903	0.499928
904	0.499317
905	0.499743
906	0.498978
907	0.498721
908	0.500439
909	0.502382
910	0.502736
911	0.503253
912	0.503545
913	0.50319
914	0.50254
915	0.502011
916	0.502204
917	0.502369
918	0.501753
919	0.501892
920	0.502915
921	0.503208
922	0.503883
923	0.504556
924	0.50491
925	0.506526
926	0.507749
927	0.509077
928	0.509752
929	0.510837
930	0.511278
931	0.510706
932	0.510504
933	0.511019
934	0.510356
935	0.510674
936	0.50938
937	0.509164
938	0.509722
939	0.510254
940	0.510617
941	0.511819
942	0.511645
943	0.512118
944	0.512168
945	0.512974
946	0.512787
947	0.512036
948	0.511857
949	0.512213
950	0.511485
951	0.512089
952	0.512036
953	0.512492
954	0.513868
955	0.514852
956	0.515635
957	0.516511
958	0.518563
959	0.518477
960	0.51759
961	0.517772
962	0.517399
963	0.517597
964	0.518804
965	0.518508
966	0.518141
967	0.518352
968	0.519277
969	0.520558
970	0.520739
971	0.521348
972	0.522609
973	0.523093
974	0.52297
975	0.523251
976	0.523151
977	0.523151
978	0.522438
979	0.521083
980	0.521081
981	0.522166
982	0.521389
983	0.520514
984	0.520926
985	0.52227
986	0.524456
987	0.524965
988	0.525365
989	0.526211
990	0.526034
991	0.525536
992	0.525146
993	0.525531
994	0.52659
995	0.526686
996	0.525637
997	0.526088
998	0.526
999	0.527474
1000	0.528359
1006	0.508675
1012	0.516587
1018	0.521181
1024	0.523404
1030	0.526891
1036	0.531249
1042	0.535684
1048	0.538025
1054	0.538292
1060	0.538247
1066	0.540622
1072	0.545836
1078	0.54921
1084	0.546998
1090	0.544351
1096	0.54487
1102	0.546383
1108	0.547824
1114	0.547426
1120	0.547631
1126	0.546601
1132	0.548128
1138	0.551537
1144	0.556209
1150	0.560521
1156	0.56656
1162	0.568472
1168	0.567656
1174	0.564322
1180	0.559917
1186	0.557082
1192	0.553557
1198	0.554234
1204	0.555922
1210	0.560499
1216	0.564059
1222	0.568424
1228	0.569711
1234	0.573446
1240	0.574685
1246	0.577508
1252	0.580004
1258	0.578831
1264	0.576906
1270	0.573121
1276	0.571544
1282	0.567941
1288	0.569214
1294	0.572081
1300	0.575429
1306	0.578501
1312	0.582079
1318	0.584093
1324	0.584323
1330	0.586558
1336	0.586429
1342	0.588648
1348	0.589694
1354	0.591327
1360	0.593412
1366	0.592906
1372	0.592652
1378	0.591079
1384	0.589204
1390	0.591297
1396	0.593201
1402	0.597134
1408	0.597868
1414	0.597084
1420	0.596135
1426	0.593743
1432	0.593327
1438	0.593769
1444	0.592649
1450	0.595798
1456	0.599503
1462	0.601501
1468	0.602739
1474	0.603236
1480	0.598602
1486	0.596728
1492	0.594688
1498	0.593035
1504	0.593129
1510	0.594782
1516	0.597581
1522	0.600958
1528	0.603581
1534	0.605228
1540	0.606077
1546	0.606165
1552	0.604096
1558	0.602524
1564	0.601849
