Spectroscopic Data at 9.344 min.		
Wavelength (nm)	s-Intensity	
605	0.294469	
606	0.294647	
607	0.294715	
608	0.294479	
609	0.294513	
610	0.294171	
611	0.293937	
612	0.294074	
613	0.294514	
614	0.294564	
615	0.29481	
616	0.295241	
617	0.295889	
618	0.296602	
619	0.297238	
620	0.297733	
621	0.297865	
622	0.298187	
623	0.298443	
624	0.298746	
625	0.298793	
626	0.298582	
627	0.298323	
628	0.298603	
629	0.29858	
630	0.298786	
631	0.299305	
632	0.299367	
633	0.299595	
634	0.299884	
635	0.300662	
636	0.301598	
637	0.302338	
638	0.302983	
639	0.30332	
640	0.303938	
641	0.304403	
642	0.305078	
643	0.305551	
644	0.305923	
645	0.305963	
646	0.305924	
647	0.306026	
648	0.306612	
649	0.306921	
650	0.307223	
651	0.30743	
652	0.307924	
653	0.308598	
654	0.309387	
655	0.310058	
656	0.311178	
657	0.312029	
658	0.312412	
659	0.313039	
660	0.313432	
661	0.313963	
662	0.314985	
663	0.315744	
664	0.316221	
665	0.316503	
666	0.316883	
667	0.317553	
668	0.318039	
669	0.31855	
670	0.319252	
671	0.319739	
672	0.320424	
673	0.321091	
674	0.321508	
675	0.32221	
676	0.323245	
677	0.323892	
678	0.324509	
679	0.325384	
680	0.325907	
681	0.326183	
682	0.326526	
683	0.32781	
684	0.328602	
685	0.329408	
686	0.33007	
687	0.330798	
688	0.330945	
689	0.331497	
690	0.332184	
691	0.333162	
692	0.334001	
693	0.334776	
694	0.335577	
695	0.336011	
696	0.336594	
697	0.337212	
698	0.338181	
699	0.338975	
700	0.339599	
701	0.340124	
702	0.340814	
703	0.341477	
704	0.342009	
705	0.342676	
706	0.343816	
707	0.344868	
708	0.34541	
709	0.346243	
710	0.34703	
711	0.347406	
712	0.348536	
713	0.349281	
714	0.349869	
715	0.350746	
716	0.351637	
717	0.352575	
718	0.353208	
719	0.353512	
720	0.353882	
721	0.354329	
722	0.354897	
723	0.356179	
724	0.356823	
725	0.357419	
726	0.358354	
727	0.358636	
728	0.35918	
729	0.359808	
730	0.360506	
731	0.361832	
732	0.362919	
733	0.363625	
734	0.36449	
735	0.365222	
736	0.366196	
737	0.367156	
738	0.367832	
739	0.368886	
740	0.369931	
741	0.371043	
742	0.371502	
743	0.371666	
744	0.372278	
745	0.372914	
746	0.372686	
747	0.373432	
748	0.374046	
749	0.374754	
750	0.37572	
751	0.376171	
752	0.376785	
753	0.377238	
754	0.377652	
755	0.378255	
756	0.379405	
757	0.380755	
758	0.381435	
759	0.382494	
760	0.383208	
761	0.384273	
762	0.385472	
763	0.385571	
764	0.386278	
765	0.387529	
766	0.388902	
767	0.389847	
768	0.390331	
769	0.390965	
770	0.391768	
771	0.392222	
772	0.392184	
773	0.392636	
774	0.39317	
775	0.393403	
776	0.393837	
