Spectroscopic Data at 10.413 min.		
Wavelength (nm)	s-Intensity	
210	0.421097	
211	0.422071	
212	0.422607	
213	0.422487	
214	0.422631	
215	0.423286	
216	0.423586	
217	0.423606	
218	0.423759	
219	0.42411	
220	0.424082	
221	0.42467	
222	0.425459	
223	0.425915	
224	0.42674	
225	0.427798	
226	0.428754	
227	0.429901	
228	0.430872	
229	0.431868	
230	0.432782	
231	0.433453	
232	0.433808	
233	0.433636	
234	0.4333	
235	0.432803	
236	0.432789	
237	0.432915	
238	0.43328	
239	0.434251	
240	0.435169	
241	0.436112	
242	0.436926	
243	0.437726	
244	0.438549	
245	0.439176	
246	0.439469	
247	0.439936	
248	0.440338	
249	0.440666	
250	0.441402	
251	0.441949	
252	0.442261	
253	0.442872	
254	0.443493	
255	0.443785	
256	0.444022	
257	0.444441	
258	0.445289	
259	0.446169	
260	0.446891	
261	0.44754	
262	0.448138	
263	0.448924	
264	0.449559	
265	0.449691	
266	0.449879	
267	0.450316	
268	0.450632	
269	0.450994	
270	0.451358	
271	0.451682	
272	0.451985	
273	0.452349	
274	0.45271	
275	0.452895	
276	0.452769	
277	0.45283	
278	0.452805	
279	0.452726	
280	0.452955	
281	0.453172	
282	0.453454	
283	0.453715	
284	0.453867	
285	0.453859	
286	0.453933	
287	0.453936	
288	0.453852	
289	0.454013	
290	0.45402	
291	0.453739	
292	0.453482	
293	0.453247	
294	0.453187	
295	0.452922	
296	0.452657	
297	0.452676	
298	0.452725	
299	0.452371	
300	0.452256	
301	0.45228	
302	0.452265	
303	0.451987	
304	0.4517	
305	0.451758	
306	0.451726	
307	0.451539	
308	0.451313	
309	0.451267	
310	0.451347	
311	0.451307	
312	0.451172	
313	0.450983	
314	0.450814	
315	0.450811	
316	0.450718	
317	0.450371	
318	0.450052	
319	0.449879	
320	0.449766	
321	0.449669	
322	0.449575	
323	0.449172	
324	0.44896	
325	0.448602	
326	0.448315	
327	0.448004	
328	0.447774	
329	0.447491	
330	0.447319	
331	0.447049	
332	0.446675	
333	0.446343	
334	0.44571	
335	0.44533	
336	0.445386	
337	0.445322	
338	0.444741	
339	0.444108	
340	0.443643	
341	0.44366	
342	0.443525	
343	0.443216	
