Spectroscopic Data at 8.898 min.		
Wavelength (nm)	s-Intensity	
210	0.572193	
211	0.572105	
212	0.571409	
213	0.57016	
214	0.568886	
215	0.567941	
216	0.567793	
217	0.567108	
218	0.56618	
219	0.565423	
220	0.564717	
221	0.563636	
222	0.562799	
223	0.562857	
224	0.56305	
225	0.563067	
226	0.563075	
227	0.563222	
228	0.563695	
229	0.56388	
230	0.563125	
231	0.562723	
232	0.562025	
233	0.560883	
234	0.560153	
235	0.559439	
236	0.558039	
237	0.557097	
238	0.557051	
239	0.556555	
240	0.556036	
241	0.556112	
242	0.555937	
243	0.555742	
244	0.555467	
245	0.554692	
246	0.554183	
247	0.553983	
248	0.553394	
249	0.552885	
250	0.552233	
251	0.551252	
252	0.550801	
253	0.550271	
254	0.549685	
255	0.549333	
256	0.548721	
257	0.548134	
258	0.547867	
259	0.547318	
260	0.546725	
261	0.546522	
262	0.546163	
263	0.54556	
264	0.545345	
265	0.545095	
266	0.54462	
267	0.544023	
268	0.543402	
269	0.543083	
270	0.54253	
271	0.542026	
272	0.541458	
273	0.541112	
274	0.540797	
275	0.540202	
276	0.539524	
277	0.538907	
278	0.538171	
279	0.537361	
280	0.536871	
281	0.536441	
282	0.535934	
283	0.535397	
284	0.534946	
285	0.534409	
286	0.533777	
287	0.533113	
288	0.532502	
289	0.532056	
290	0.531511	
291	0.530621	
292	0.529955	
293	0.529268	
294	0.528371	
295	0.527468	
296	0.526746	
297	0.52631	
298	0.52591	
299	0.525191	
300	0.524553	
301	0.524009	
302	0.523441	
303	0.522936	
304	0.522387	
305	0.521698	
306	0.521205	
307	0.520783	
308	0.520193	
309	0.519534	
310	0.519035	
311	0.518757	
312	0.51835	
313	0.517649	
314	0.517032	
315	0.51673	
316	0.516213	
317	0.515685	
318	0.515333	
319	0.514705	
320	0.514219	
321	0.513819	
322	0.513292	
323	0.512569	
324	0.512075	
325	0.511667	
326	0.511144	
327	0.510484	
328	0.510009	
329	0.50926	
330	0.508834	
331	0.508455	
332	0.507859	
333	0.507293	
334	0.506758	
335	0.506307	
336	0.505712	
337	0.505347	
338	0.504697	
339	0.504071	
340	0.503798	
341	0.503665	
342	0.503181	
343	0.502586	
344	0.502104	
345	0.501577	
346	0.501095	
347	0.500731	
348	0.500277	
349	0.49956	
350	0.499318	
351	0.498739	
352	0.498107	
353	0.497769	
354	0.497165	
355	0.496648	
356	0.496041	
357	0.495376	
358	0.495003	
359	0.494622	
360	0.494388	
361	0.493946	
362	0.493535	
363	0.493212	
364	0.492696	
365	0.492471	
366	0.492112	
367	0.491686	
368	0.491274	
369	0.490723	
370	0.489965	
371	0.489475	
372	0.4891	
373	0.488659	
374	0.488229	
375	0.487677	
376	0.487259	
377	0.486733	
378	0.486127	
379	0.485739	
380	0.485549	
381	0.485029	
382	0.484418	
383	0.483762	
384	0.483251	
385	0.482954	
386	0.482555	
387	0.48203	
388	0.481703	
389	0.481902	
390	0.481327	
391	0.479779	
392	0.478718	
393	0.478386	
394	0.478048	
395	0.478421	
396	0.477757	
397	0.476633	
398	0.476254	
399	0.475906	
400	0.475375	
401	0.475339	
402	0.474986	
403	0.474756	
404	0.474335	
405	0.473773	
406	0.473136	
407	0.472729	
408	0.472554	
409	0.472373	
410	0.47193	
411	0.47153	
