wvl ( nm)	e1	e2
433,428676	1,815169	2,724698
435,0199478	1,623214	2,880765
436,6112628	1,466227	3,025531
438,2024934	1,336104	3,159611
439,7938218	1,227382	3,283617
441,3852806	1,13601	3,39812
442,9765883	1,058846	3,503676
444,5679355	0,993372	3,60083
446,159199	0,937536	3,690105
447,7505769	0,889631	3,771997
449,3419496	0,848242	3,84699
450,9333593	0,812146	3,915552
452,5246863	0,78033	3,978138
454,1161417	0,751912	4,035174
455,7074417	0,726143	4,08708
457,2988024	0,702365	4,134267
458,8901077	0,680026	4,17712
460,481582	0,658647	4,216008
462,0729412	0,637808	4,251298
463,6642413	0,617161	4,283334
465,2557162	0,596403	4,31246
466,8470805	0,575271	4,338992
468,4383964	0,553564	4,363237
470,0297294	0,531097	4,385501
471,6211483	0,507729	4,406071
473,212364	0,483348	4,425227
474,8038084	0,457875	4,443231
476,3950114	0,431255	4,460337
477,9864129	0,403458	4,476798
479,5777241	0,374483	4,492851
481,1690234	0,344358	4,508724
482,7603928	0,313132	4,524638
484,3515392	0,280902	4,540797
485,9429252	0,247817	4,557404
487,5342601	0,214099	4,574543
489,1254398	0,179896	4,5922
490,7167472	0,145301	4,610371
492,3078878	0,110386	4,629035
493,8991506	0,075209	4,648188
495,4904376	0,039816	4,667823
497,0816497	0,004248	4,687928
498,6726861	-0,031463	4,708486
500,2640507	-0,067294	4,729495
501,8550424	-0,103216	4,750947
503,4461702	-0,139205	4,772824
505,0373402	-0,175249	4,795125
506,6284571	-0,211328	4,81784
508,2196329	-0,247427	4,840957
509,8107739	-0,283538	4,864466
511,4017853	-0,319644	4,888363
512,9927833	-0,355738	4,912639
514,5838884	-0,391811	4,937284
516,1747951	-0,427853	4,962291
517,7658404	-0,463859	4,987655
519,3567181	-0,49982	5,013367
520,947772	-0,535732	5,039412
522,5386953	-0,57159	5,065791
524,1296173	-0,607386	5,092494
525,720449	-0,643122	5,119518
527,3113246	-0,678788	5,146848
528,9021569	-0,71438	5,174483
530,4928578	-0,749898	5,202417
532,0835663	-0,785342	5,230637
533,6744259	-0,820702	5,259143
535,2651224	-0,855982	5,287928
536,8558001	-0,891176	5,316978
538,4466076	-0,926285	5,346299
540,0372277	-0,96131	5,375877
541,62781	-0,996242	5,405711
543,2185083	-1,031086	5,435788
544,8090027	-1,06584	5,466109
546,399448	-1,100504	5,496664
547,9900036	-1,135075	5,527452
549,5805902	-1,169555	5,558465
551,1708825	-1,203943	5,589694
552,7612878	-1,23824	5,621141
554,3517281	-1,272445	5,652801
555,9421246	-1,306561	5,684663
557,5323976	-1,340586	5,71673
559,1227184	-1,374521	5,748991
560,7130099	-1,408367	5,781446
562,3031939	-1,442123	5,814091
563,8934478	-1,475791	5,846917
565,4834382	-1,50937	5,879926
567,073603	-1,542863	5,913114
568,6636084	-1,576269	5,946475
570,2536387	-1,609589	5,980003
571,8436192	-1,642823	6,013694
573,4334745	-1,675974	6,047552
575,0233951	-1,709042	6,081564
576,6133082	-1,742028	6,115732
578,2031405	-1,774931	6,150049
579,7930887	-1,807757	6,184512
581,3828096	-1,840504	6,219121
582,9725016	-1,873173	6,253872
584,5620923	-1,905767	6,28876
586,1517859	-1,938287	6,323779
587,7415132	-1,970734	6,358929
589,330924	-2,00311	6,394208
590,9205064	-2,035417	6,429613
592,5099102	-2,067657	6,465136
594,0993478	-2,09983	6,500779
595,6884645	-2,131941	6,536535
597,2780498	-2,163989	6,572405
598,8671751	-2,195977	6,608384
600,4563468	-2,227909	6,644472
602,0454981	-2,259786	6,680664
603,6345616	-2,291611	6,716953
605,2237644	-2,323385	6,753345
606,8127454	-2,355109	6,789829
608,4017336	-2,386792	6,826408
609,9906632	-2,418432	6,86308
611,5794681	-2,450032	6,899837
613,1683844	-2,481596	6,936682
614,7573493	-2,513129	6,973608
616,3459928	-2,544632	7,010618
617,9345538	-2,576109	7,047703
619,5232768	-2,607563	7,084867
621,1117901	-2,639001	7,122102
622,70034	-2,670424	7,159411
624,2885502	-2,701839	7,196789
625,8769849	-2,73325	7,234236
627,465268	-2,764661	7,271744
629,0536547	-2,796078	7,309315
630,6417645	-2,827509	7,34695
632,2301767	-2,85896	7,384643
633,8181872	-2,890436	7,422395
635,4060552	-2,92195	7,460198
636,9940456	-2,953512	7,498057
638,5821005	-2,985139	7,53597
640,1698309	-3,016844	7,573947
641,7578368	-3,048637	7,612003
643,3453961	-3,080522	7,650145
644,9331142	-3,112506	7,688385
646,5209353	-3,14459	7,726731
648,1084641	-3,176779	7,765194
649,6956386	-3,209074	7,803783
651,2830802	-3,241474	7,842507
652,8703921	-3,27398	7,881377
654,4578608	-3,306594	7,920402
656,0450851	-3,339313	7,959581
657,6323538	-3,372136	7,998933
659,2192611	-3,405061	8,038462
660,8064503	-3,438088	8,078172
662,3931624	-3,471213	8,118073
663,9804019	-3,504434	8,158173
665,5670497	-3,537748	8,198474
667,1537606	-3,571152	8,238986
668,7404812	-3,604644	8,279716
670,3271575	-3,638218	8,320665
671,9137349	-3,671874	8,361843
673,5001586	-3,705604	8,403254
675,0863729	-3,739406	8,444901
676,6726912	-3,773277	8,486794
678,2590621	-3,80721	8,528933
679,8450611	-3,841204	8,571326
681,4313796	-3,875253	8,613975
683,0172175	-3,90935	8,656884
684,6032724	-3,943494	8,700058
686,1891159	-3,977677	8,743501
687,7750754	-4,011898	8,787216
689,360718	-4,046148	8,831207
690,9463736	-4,080424	8,875479
692,5319919	-4,114721	8,920031
694,1175219	-4,149032	8,964869
695,7029124	-4,183355	9,009996
697,2881116	-4,217681	9,055415
698,8734611	-4,252007	9,101125
700,4585179	-4,286326	9,147131
702,0436263	-4,320635	9,193439
703,6287382	-4,354926	9,240043
705,2134038	-4,389194	9,28695
706,7983744	-4,423436	9,334164
708,383201	-4,457642	9,381683
709,9678339	-4,491808	9,429509
711,5522225	-4,525929	9,477644
713,1371363	-4,559999	9,526092
714,721299	-4,594012	9,57485
716,305895	-4,627962	9,623922
717,8900517	-4,661842	9,673308
719,474134	-4,695648	9,723014
721,0580946	-4,729371	9,773031
722,6423066	-4,763009	9,823368
724,2263044	-4,796553	9,874022
725,8100391	-4,829996	9,924994
727,3934618	-4,863334	9,976287
728,9773799	-4,896559	10,0279
730,560894	-4,929665	10,079832
732,144386	-4,962646	10,132084
733,7278107	-4,995493	10,184658
735,3106866	-5,028202	10,237552
736,8942759	-5,060765	10,290769
738,4772242	-5,093174	10,344304
740,0603627	-5,125423	10,398163
741,6432062	-5,157504	10,452341
743,2257075	-5,189408	10,50684
744,8087133	-5,221128	10,561661
746,3912884	-5,252657	10,6168
747,9738354	-5,283985	10,672262
749,556311	-5,315103	10,728041
751,1382167	-5,346	10,784139
752,7208735	-5,376666	10,840557
754,3028721	-5,407088	10,897291
755,8846227	-5,43725	10,954342
757,4665432	-5,467134	11,0117
759,0485938	-5,496726	11,069351
760,6302681	-5,52602	11,127286
762,2119884	-5,555006	11,185493
763,7932436	-5,583675	11,243956
765,3749319	-5,612025	11,30267
766,9560689	-5,640049	11,361618
768,5375598	-5,667743	11,420794
770,1184119	-5,695102	11,480184
771,6995375	-5,722125	11,539779
773,2804177	-5,748808	11,599569
774,8614935	-5,77515	11,659545
776,4417553	-5,801147	11,719694
778,0226179	-5,8268	11,780007
779,6030689	-5,852107	11,840479
781,1835561	-5,877066	11,901094
782,7635467	-5,901677	11,961849
784,343988	-5,925941	12,022733
785,9238503	-5,949857	12,083735
787,5035882	-5,973425	12,144849
789,0836639	-5,996647	12,206068
790,6635389	-6,019522	12,267382
792,2431727	-6,042051	12,32878
793,8225243	-6,064237	12,390261
795,4020629	-6,086079	12,451814
796,9812407	-6,107578	12,513427
798,5605302	-6,128737	12,575101
800,1393791	-6,149558	12,636825
801,7182633	-6,170041	12,698587
803,2971461	-6,19019	12,76039
804,8759907	-6,210006	12,822221
806,4542353	-6,22949	12,884073
808,0328895	-6,248647	12,945945
809,6113931	-6,267476	13,007822
811,1897078	-6,285983	13,069707
812,7677955	-6,304168	13,131587
814,3456175	-6,322035	13,19346
815,9236717	-6,339586	13,255321
817,5013861	-6,356824	13,31716
819,0787214	-6,373751	13,378973
820,6567239	-6,390372	13,440758
822,2337305	-6,406689	13,502507
