Opt. Const. of TiN (Lorentz) vs. nm
Wavelength (nm)	e1	e2
1216.000000	-19.354668	24.766062	
1222.000000	-19.507074	25.016392	
1228.000000	-19.658890	25.267572	
1234.000000	-19.810116	25.519592	
1240.000000	-19.960749	25.772442	
1246.000000	-20.110786	26.026110	
1252.000000	-20.260229	26.280590	
1258.000000	-20.409075	26.535870	
1264.000000	-20.557322	26.791939	
1270.000000	-20.704967	27.048790	
1276.000000	-20.852015	27.306412	
1282.000000	-20.998459	27.564795	
1288.000000	-21.144302	27.823931	
1294.000000	-21.289541	28.083811	
1300.000000	-21.434175	28.344423	
1306.000000	-21.578205	28.605761	
1312.000000	-21.721628	28.867813	
1318.000000	-21.864447	29.130573	
1324.000000	-22.006659	29.394032	
1330.000000	-22.148264	29.658176	
1336.000000	-22.289261	29.923002	
1342.000000	-22.429651	30.188501	
1348.000000	-22.569435	30.454660	
1354.000000	-22.708611	30.721476	
1360.000000	-22.847179	30.988935	
1366.000000	-22.985140	31.257032	
1372.000000	-23.122494	31.525759	
1378.000000	-23.259239	31.795105	
1384.000000	-23.395378	32.065067	
1390.000000	-23.530912	32.335629	
1396.000000	-23.665838	32.606792	
1402.000000	-23.800159	32.878540	
1408.000000	-23.933876	33.150871	
1414.000000	-24.066986	33.423775	
1420.000000	-24.199493	33.697243	
1426.000000	-24.331398	33.971268	
1432.000000	-24.462698	34.245846	
1438.000000	-24.593397	34.520962	
1444.000000	-24.723495	34.796616	
1450.000000	-24.852993	35.072800	
1456.000000	-24.981892	35.349503	
1462.000000	-25.110191	35.626717	
1468.000000	-25.237894	35.904438	
1474.000000	-25.365000	36.182663	
1480.000000	-25.491512	36.461376	
1486.000000	-25.617428	36.740574	
1492.000000	-25.742752	37.020252	
1498.000000	-25.867485	37.300404	
1504.000000	-25.991627	37.581017	
1510.000000	-26.115179	37.862091	
1516.000000	-26.238144	38.143616	
1522.000000	-26.360523	38.425587	
1528.000000	-26.482317	38.707996	
1534.000000	-26.603525	38.990841	
1540.000000	-26.724154	39.274109	
1546.000000	-26.844200	39.557800	
1552.000000	-26.963669	39.841904	
1558.000000	-27.082558	40.126415	
1564.000000	-27.200872	40.411327	
1570.000000	-27.318613	40.696636	
1576.000000	-27.435780	40.982338	
1582.000000	-27.552376	41.268421	
1588.000000	-27.668402	41.554886	
1594.000000	-27.783861	41.841721	
1600.000000	-27.898756	42.128925	
1606.000000	-28.013084	42.416489	
1612.000000	-28.126852	42.704411	
1618.000000	-28.240059	42.992683	
1624.000000	-28.352707	43.281300	
1630.000000	-28.464798	43.570259	
1636.000000	-28.576334	43.859550	
1642.000000	-28.687317	44.149174	
1648.000000	-28.797750	44.439121	
1654.000000	-28.907633	44.729385	
1660.000000	-29.016970	45.019966	
1666.000000	-29.125759	45.310856	
1672.000000	-29.234007	45.602051	
1678.000000	-29.341715	45.893547	
1684.000000	-29.448881	46.185333	
1690.000000	-29.555511	46.477413	
1696.000000	-29.661608	46.769779	
1702.000000	-29.767170	47.062424	
1708.000000	-29.872202	47.355347	
1714.000000	-29.976704	47.648537	
1720.000000	-30.080679	47.941998	
1726.000000	-30.184130	48.235722	
1732.000000	-30.287060	48.529705	
1738.000000	-30.389467	48.823940	
1744.000000	-30.491356	49.118427	
1750.000000	-30.592730	49.413158	
1756.000000	-30.693590	49.708130	
1762.000000	-30.793938	50.003342	
1768.000000	-30.893776	50.298786	
1774.000000	-30.993107	50.594460	
1780.000000	-31.091932	50.890358	
1786.000000	-31.190254	51.186478	
1792.000000	-31.288076	51.482815	
1798.000000	-31.385399	51.779366	
1804.000000	-31.482225	52.076126	
1810.000000	-31.578558	52.373096	
1816.000000	-31.674397	52.670265	
1822.000000	-31.769747	52.967636	
1828.000000	-31.864609	53.265198	
1834.000000	-31.958986	53.562954	
1840.000000	-32.052879	53.860901	
1846.000000	-32.146294	54.159027	
1852.000000	-32.239227	54.457340	
1858.000000	-32.331684	54.755829	
1864.000000	-32.423668	55.054493	
1870.000000	-32.515179	55.353329	
1876.000000	-32.606220	55.652328	
1882.000000	-32.696793	55.951496	
1888.000000	-32.786900	56.250828	
1894.000000	-32.876545	56.550316	
1900.000000	-32.965729	56.849960	
1906.000000	-33.054455	57.149757	
1912.000000	-33.142723	57.449703	
1918.000000	-33.230537	57.749794	
1924.000000	-33.317902	58.050030	
1930.000000	-33.404816	58.350407	
1936.000000	-33.491280	58.650925	
1942.000000	-33.577301	58.951572	
1948.000000	-33.662876	59.252354	
1954.000000	-33.748013	59.553265	
1960.000000	-33.832710	59.854305	
1966.000000	-33.916969	60.155468	
1972.000000	-34.000797	60.456749	
1978.000000	-34.084190	60.758152	
1984.000000	-34.167156	61.059673	
1990.000000	-34.249691	61.361305	
1996.000000	-34.331802	61.663048	
2002.000000	-34.413490	61.964901	
2008.000000	-34.494755	62.266857	
2014.000000	-34.575603	62.568920	
2020.000000	-34.656036	62.871086	
2026.000000	-34.736050	63.173347	
2032.000000	-34.815655	63.475708	
2038.000000	-34.894848	63.778160	
2044.000000	-34.973633	64.080711	
2050.000000	-35.052010	64.383347	
2056.000000	-35.129986	64.686066	
2062.000000	-35.207558	64.988876	
2068.000000	-35.284733	65.291771	
2074.000000	-35.361507	65.594749	
2080.000000	-35.437889	65.897804	
2086.000000	-35.513874	66.200935	
2092.000000	-35.589470	66.504143	
2098.000000	-35.664677	66.807419	
2104.000000	-35.739498	67.110771	
2110.000000	-35.813931	67.414192	
2116.000000	-35.887985	67.717682	
2122.000000	-35.961655	68.021233	
2128.000000	-36.034946	68.324852	
2134.000000	-36.107861	68.628532	
2140.000000	-36.180401	68.932266	
2146.000000	-36.252571	69.236069	
2152.000000	-36.324368	69.539917	
2158.000000	-36.395794	69.843826	
2164.000000	-36.466858	70.147789	
2170.000000	-36.537556	70.451797	
2176.000000	-36.607887	70.755859	
2182.000000	-36.677864	71.059975	
2188.000000	-36.747478	71.364128	
2194.000000	-36.816738	71.668327	
2200.000000	-36.885639	71.972572	
2206.000000	-36.954193	72.276855	
2212.000000	-37.022392	72.581184	
2218.000000	-37.090244	72.885544	
2224.000000	-37.157749	73.189949	
2230.000000	-37.224907	73.494385	
2236.000000	-37.291725	73.798851	
2242.000000	-37.358200	74.103355	
2248.000000	-37.424335	74.407890	
2254.000000	-37.490135	74.712456	
2260.000000	-37.555595	75.017052	
2266.000000	-37.620728	75.321671	
2272.000000	-37.685524	75.626312	
2278.000000	-37.749992	75.930984	
2284.000000	-37.814133	76.235680	
2290.000000	-37.877945	76.540390	
2296.000000	-37.941433	76.845131	
2302.000000	-38.004601	77.149887	
2308.000000	-38.067444	77.454659	
2314.000000	-38.129971	77.759445	
2320.000000	-38.192181	78.064255	
2326.000000	-38.254074	78.369072	
2332.000000	-38.315655	78.673904	
2338.000000	-38.376926	78.978752	
2344.000000	-38.437885	79.283607	
2350.000000	-38.498535	79.588478	
2356.000000	-38.558876	79.893356	
2362.000000	-38.618916	80.198242	
2368.000000	-38.678654	80.503128	
2374.000000	-38.738087	80.808029	
2380.000000	-38.797222	81.112930	
2386.000000	-38.856060	81.417839	
2392.000000	-38.914600	81.722748	
2398.000000	-38.972843	82.027657	
2404.000000	-39.030796	82.332565	
2410.000000	-39.088459	82.637482	
2416.000000	-39.145832	82.942390	
2422.000000	-39.202915	83.247299	
2428.000000	-39.259712	83.552200	
2434.000000	-39.316227	83.857101	
2440.000000	-39.372456	84.162003	
2446.000000	-39.428406	84.466896	
2452.000000	-39.484074	84.771774	
2458.000000	-39.539467	85.076653	
2464.000000	-39.594582	85.381523	
2470.000000	-39.649418	85.686386	
2476.000000	-39.703983	85.991241	
2482.000000	-39.758278	86.296082	
2488.000000	-39.812302	86.600906	
2494.000000	-39.866058	86.905724	
2500.000000	-39.919544	87.210533	
