Opt. Const. of TiN (Lorentz) vs. nm
Wavelength (nm)	e1	e2
407.000000	3.916978	4.899009	
408.000000	3.894130	4.888165	
409.000000	3.871121	4.877583	
410.000000	3.847956	4.867261	
411.000000	3.824639	4.857198	
412.000000	3.801173	4.847390	
413.000000	3.777564	4.837837	
414.000000	3.753814	4.828536	
415.000000	3.729927	4.819485	
416.000000	3.705908	4.810682	
417.000000	3.681759	4.802126	
418.000000	3.657483	4.793813	
419.000000	3.633085	4.785742	
420.000000	3.608567	4.777912	
421.000000	3.583933	4.770319	
422.000000	3.559186	4.762961	
423.000000	3.534327	4.755837	
424.000000	3.509361	4.748945	
425.000000	3.484290	4.742283	
426.000000	3.459117	4.735848	
427.000000	3.433845	4.729639	
428.000000	3.408475	4.723652	
429.000000	3.383011	4.717888	
430.000000	3.357455	4.712343	
431.000000	3.331809	4.707016	
432.000000	3.306076	4.701903	
433.000000	3.280257	4.697005	
434.000000	3.254355	4.692317	
435.000000	3.228372	4.687840	
436.000000	3.202310	4.683570	
437.000000	3.176171	4.679507	
438.000000	3.149956	4.675647	
439.000000	3.123668	4.671988	
440.000000	3.097309	4.668531	
441.000000	3.070879	4.665272	
442.000000	3.044382	4.662209	
443.000000	3.017818	4.659341	
444.000000	2.991189	4.656666	
445.000000	2.964497	4.654182	
446.000000	2.937743	4.651887	
447.000000	2.910929	4.649781	
448.000000	2.884055	4.647860	
449.000000	2.857124	4.646123	
450.000000	2.830137	4.644570	
451.000000	2.803095	4.643197	
452.000000	2.775999	4.642004	
453.000000	2.748850	4.640988	
454.000000	2.721651	4.640149	
455.000000	2.694401	4.639483	
456.000000	2.667102	4.638992	
457.000000	2.639755	4.638671	
458.000000	2.612361	4.638521	
459.000000	2.584922	4.638539	
460.000000	2.557438	4.638724	
461.000000	2.529910	4.639075	
462.000000	2.502338	4.639590	
463.000000	2.474725	4.640267	
464.000000	2.447071	4.641106	
465.000000	2.419377	4.642104	
466.000000	2.391643	4.643261	
467.000000	2.363870	4.644576	
468.000000	2.336060	4.646046	
469.000000	2.308213	4.647670	
470.000000	2.280329	4.649448	
471.000000	2.252410	4.651378	
472.000000	2.224456	4.653458	
473.000000	2.196468	4.655687	
474.000000	2.168446	4.658065	
475.000000	2.140392	4.660590	
476.000000	2.112305	4.663261	
477.000000	2.084187	4.666076	
478.000000	2.056038	4.669035	
479.000000	2.027858	4.672136	
480.000000	1.999649	4.675378	
481.000000	1.971410	4.678760	
482.000000	1.943142	4.682281	
483.000000	1.914847	4.685940	
484.000000	1.886523	4.689735	
485.000000	1.858172	4.693666	
486.000000	1.829795	4.697732	
487.000000	1.801391	4.701932	
488.000000	1.772961	4.706264	
489.000000	1.744506	4.710728	
490.000000	1.716026	4.715322	
491.000000	1.687522	4.720047	
492.000000	1.658993	4.724899	
493.000000	1.630440	4.729880	
494.000000	1.601865	4.734987	
495.000000	1.573266	4.740220	
496.000000	1.544644	4.745578	
497.000000	1.516001	4.751060	
498.000000	1.487335	4.756666	
499.000000	1.458648	4.762393	
500.000000	1.429939	4.768243	
501.000000	1.401210	4.774213	
502.000000	1.372459	4.780303	
503.000000	1.343689	4.786511	
504.000000	1.314899	4.792838	
505.000000	1.286088	4.799282	
506.000000	1.257259	4.805843	
507.000000	1.228410	4.812519	
508.000000	1.199542	4.819311	
509.000000	1.170656	4.826217	
510.000000	1.141751	4.833236	
511.000000	1.112828	4.840368	
512.000000	1.083887	4.847612	
513.000000	1.054929	4.854968	
514.000000	1.025953	4.862433	
515.000000	0.996960	4.870009	
516.000000	0.967950	4.877695	
517.000000	0.938923	4.885489	
518.000000	0.909880	4.893390	
519.000000	0.880820	4.901399	
520.000000	0.851744	4.909514	
521.000000	0.822652	4.917736	
522.000000	0.793545	4.926063	
523.000000	0.764422	4.934494	
524.000000	0.735283	4.943029	
525.000000	0.706129	4.951668	
526.000000	0.676960	4.960410	
527.000000	0.647777	4.969254	
528.000000	0.618578	4.978199	
529.000000	0.589366	4.987247	
530.000000	0.560138	4.996394	
531.000000	0.530897	5.005641	
532.000000	0.501641	5.014987	
533.000000	0.472372	5.024433	
534.000000	0.443089	5.033977	
535.000000	0.413792	5.043618	
536.000000	0.384482	5.053357	
537.000000	0.355158	5.063193	
538.000000	0.325821	5.073124	
539.000000	0.296472	5.083152	
540.000000	0.267109	5.093275	
541.000000	0.237733	5.103492	
542.000000	0.208345	5.113804	
543.000000	0.178945	5.124209	
544.000000	0.149531	5.134708	
545.000000	0.120106	5.145300	
546.000000	0.090668	5.155983	
547.000000	0.061219	5.166759	
548.000000	0.031757	5.177627	
549.000000	0.002284	5.188585	
550.000000	-0.027202	5.199634	
551.000000	-0.056698	5.210773	
552.000000	-0.086207	5.222002	
553.000000	-0.115726	5.233319	
554.000000	-0.145257	5.244726	
555.000000	-0.174800	5.256221	
556.000000	-0.204353	5.267805	
557.000000	-0.233917	5.279476	
558.000000	-0.263492	5.291234	
559.000000	-0.293078	5.303079	
560.000000	-0.322675	5.315010	
561.000000	-0.352282	5.327027	
562.000000	-0.381900	5.339131	
563.000000	-0.411529	5.351319	
564.000000	-0.441167	5.363593	
565.000000	-0.470816	5.375951	
566.000000	-0.500475	5.388393	
567.000000	-0.530144	5.400919	
568.000000	-0.559823	5.413529	
569.000000	-0.589512	5.426221	
570.000000	-0.619211	5.438997	
571.000000	-0.648920	5.451855	
572.000000	-0.678638	5.464796	
573.000000	-0.708366	5.477818	
574.000000	-0.738103	5.490921	
575.000000	-0.767850	5.504106	
576.000000	-0.797606	5.517372	
577.000000	-0.827372	5.530717	
578.000000	-0.857146	5.544144	
579.000000	-0.886930	5.557650	
