wvl ( nm)	e1	e2
719,474134	-2,154541	9,243412
721,0580946	-2,171038	9,289118
722,6423066	-2,187329	9,335082
724,2263044	-2,203403	9,381302
725,8100391	-2,219254	9,427776
727,3934618	-2,234871	9,474507
728,9773799	-2,25024	9,521491
730,560894	-2,265348	9,568718
732,144386	-2,280186	9,616179
733,7278107	-2,294747	9,663863
735,3106866	-2,309026	9,711762
736,8942759	-2,323015	9,759871
738,4772242	-2,336712	9,808173
740,0603627	-2,350113	9,856665
741,6432062	-2,363214	9,905336
743,2257075	-2,376012	9,954178
744,8087133	-2,388506	10,003183
746,3912884	-2,400693	10,052342
747,9738354	-2,412571	10,101649
749,556311	-2,42414	10,151094
751,1382167	-2,435397	10,200671
752,7208735	-2,446343	10,250373
754,3028721	-2,456977	10,30019
755,8846227	-2,467298	10,350117
757,4665432	-2,477307	10,400146
759,0485938	-2,487002	10,45027
760,6302681	-2,496385	10,500484
762,2119884	-2,505457	10,550781
763,7932436	-2,514216	10,601153
765,3749319	-2,522665	10,651596
766,9560689	-2,530804	10,702102
768,5375598	-2,538634	10,752666
770,1184119	-2,546155	10,803281
771,6995375	-2,55337	10,853942
773,2804177	-2,56028	10,904644
774,8614935	-2,566885	10,955381
776,4417553	-2,573188	11,006148
778,0226179	-2,579189	11,056937
779,6030689	-2,584892	11,107748
781,1835561	-2,590296	11,15857
782,7635467	-2,595405	11,209403
784,343988	-2,60022	11,260239
785,9238503	-2,604743	11,311074
787,5035882	-2,608975	11,361905
789,0836639	-2,61292	11,412726
790,6635389	-2,616579	11,463533
792,2431727	-2,619955	11,514321
793,8225243	-2,623049	11,565088
795,4020629	-2,625863	11,615829
796,9812407	-2,628401	11,666535
798,5605302	-2,630664	11,71721
800,1393791	-2,632656	11,767845
801,7182633	-2,634377	11,818437
803,2971461	-2,635832	11,868984
804,8759907	-2,637021	11,919482
806,4542353	-2,637949	11,969925
808,0328895	-2,638616	12,020313
809,6113931	-2,639027	12,07064
811,1897078	-2,639183	12,120905
812,7677955	-2,639088	12,171102
814,3456175	-2,638743	12,221231
815,9236717	-2,638152	12,271286
817,5013861	-2,637317	12,321266
819,0787214	-2,636241	12,371167
820,6567239	-2,634927	12,420987
822,2337305	-2,633377	12,470724
823,8113366	-2,631594	12,520372
825,3884151	-2,629581	12,569935
826,9654769	-2,627341	12,619403
828,5424869	-2,624876	12,668774
830,11941	-2,62219	12,718052
831,695653	-2,619285	12,767228
833,2722939	-2,616164	12,816304
834,8487409	-2,61283	12,865276
836,4249578	-2,609286	12,91414
838,0014746	-2,605535	12,962896
839,5776924	-2,601578	13,011543
841,1535743	-2,597421	13,060079
842,729083	-2,593064	13,108498
844,3047559	-2,588512	13,1568
845,8805617	-2,583767	13,204987
847,4558896	-2,578832	13,25305
849,0312827	-2,57371	13,300992
850,6061255	-2,568405	13,348812
852,1815504	-2,562918	13,396503
853,7563558	-2,557253	13,44407
855,3310925	-2,551412	13,491508
856,9057272	-2,5454	13,538815
858,4802269	-2,539219	13,585991
860,054558	-2,532871	13,633032
861,6286867	-2,52636	13,679941
863,202579	-2,51969	13,72671
864,7768039	-2,512861	13,773346
866,3507281	-2,505879	13,819841
867,924317	-2,498746	13,866198
869,4981453	-2,491466	13,912411
871,0715726	-2,48404	13,958483
872,6445634	-2,476473	14,004412
874,2176985	-2,468767	14,050195
875,7909487	-2,460927	14,09583
877,3636637	-2,452954	14,141322
878,9364302	-2,444852	14,186666
880,5092184	-2,436625	14,231858
882,0813706	-2,428276	14,276902
883,6541093	-2,419807	14,321796
885,2261467	-2,411224	14,366538
886,7980797	-2,402529	14,411124
888,3698771	-2,393724	14,455563
889,9415079	-2,384815	14,499844
891,5135816	-2,375806	14,543969
893,0847869	-2,366699	14,587941
894,6563762	-2,3575	14,631754
896,2276765	-2,348212	14,675411
897,7986556	-2,33884	14,71891
899,369281	-2,329389	14,762251
900,9401747	-2,319866	14,805437
902,5106536	-2,310277	14,848466
904,081344	-2,300626	14,891341
905,6515579	-2,290916	14,93407
907,2212618	-2,281152	14,976649
908,791754	-2,271336	15,019086
910,3616779	-2,26147	15,061381
911,9309992	-2,251558	15,103537
913,5003566	-2,241603	15,145555
915,0703977	-2,231606	15,187438
916,6390689	-2,22157	15,229189
918,2083681	-2,211497	15,270808
919,7775918	-2,201388	15,312304
921,3460271	-2,191247	15,353669
922,9150122	-2,181073	15,394914
924,4831468	-2,170869	15,436035
926,0517782	-2,160637	15,477039
927,6194965	-2,150377	15,517926
929,1876577	-2,140091	15,558698
930,7555408	-2,129781	15,599356
932,3238171	-2,119447	15,639904
933,8910571	-2,109092	15,680341
935,458635	-2,098715	15,720673
937,0258196	-2,088319	15,760896
938,5925804	-2,077903	15,801018
940,1595997	-2,067468	15,841039
941,7268536	-2,057017	15,880956
943,2928833	-2,046549	15,920779
944,8598102	-2,036066	15,960502
946,4261727	-2,025567	16,000132
947,991939	-2,015054	16,039667
949,5578047	-2,004527	16,079113
951,123745	-1,993988	16,118464
952,6897351	-1,983436	16,157732
954,2550154	-1,972872	16,196909
955,8202904	-1,962297	16,236002
957,3855345	-1,95171	16,275009
958,9507223	-1,941113	16,313938
960,515084	-1,930507	16,352781
962,0800792	-1,91989	16,391548
963,6441915	-1,909264	16,430233
965,2088899	-1,898629	16,468843
966,7726478	-1,887985	16,507378
968,3369438	-1,877333	16,545837
969,9002411	-1,866673	16,584221
971,4640276	-1,856005	16,622536
973,0275202	-1,845329	16,66078
974,5914575	-1,834645	16,698956
976,1542828	-1,823955	16,737061
977,7175027	-1,813257	16,775101
979,2803237	-1,802552	16,813074
980,8427179	-1,791841	16,850981
982,4054356	-1,781122	16,888826
983,9676751	-1,770396	16,926609
985,5294081	-1,759665	16,964331
987,0913919	-1,748926	17,001989
988,652817	-1,738181	17,039591
990,2144453	-1,72743	17,077133
991,7762553	-1,716672	17,114618
993,3374295	-1,705907	17,152048
994,898737	-1,695137	17,189421
996,4593549	-1,684359	17,226742
998,020057	-1,673575	17,264006
999,5808209	-1,662785	17,301218
1001,62279	-1,648649	17,349855
1005,017794	-1,625126	17,430511
1008,412929	-1,601563	17,510965
1011,807962	-1,577956	17,591227
1015,204322	-1,554307	17,671303
1018,600131	-1,530611	17,751204
1021,996833	-1,50687	17,830933
1025,394219	-1,483079	17,910501
1028,79122	-1,459239	17,98991
1032,189323	-1,435345	18,069174
1035,587462	-1,411397	18,148293
1038,986285	-1,387392	18,227276
1042,384707	-1,363328	18,306126
1045,784267	-1,339202	18,384851
1049,183879	-1,315012	18,463457
1052,584222	-1,290755	18,541946
1055,985094	-1,266428	18,620325
1059,386291	-1,242028	18,698601
1062,787606	-1,217554	18,776773
1066,189747	-1,193	18,854851
1069,591597	-1,168366	18,932835
1072,993869	-1,143647	19,010731
1076,397298	-1,11884	19,088541
1079,800759	-1,093943	19,166273
1083,204048	-1,068952	19,243925
1086,60886	-1,043864	19,321503
1090,013107	-1,018676	19,39901
1093,418502	-0,993383	19,47645
1096,823899	-0,967984	19,553823
1100,229096	-0,942474	19,631134
1103,635857	-0,916849	19,708385
1107,042037	-0,891107	19,78558
1110,449419	-0,865243	19,862719
1113,856828	-0,839254	19,939806
1117,264073	-0,813136	20,016842
1120,672982	-0,786886	20,09383
1124,081358	-0,760498	20,170771
1127,490025	-0,733971	20,247665
1130,899831	-0,707298	20,324518
1134,309571	-0,680477	20,401329
1137,720101	-0,653502	20,478102
1141,130197	-0,626369	20,554834
1144,540725	-0,599075	20,631531
1147,952571	-0,571613	20,708191
1151,364506	-0,54398	20,784819
1154,776351	-0,51617	20,861408
1158,189003	-0,488177	20,937969
1161,602299	-0,459996	21,014498
1165,014976	-0,43162	21,090996
1168,429047	-0,403043	21,167465
1171,843253	-0,374257	21,243906
1175,257419	-0,345253	21,320316
1178,672492	-0,316017	21,3967
1182,088312	-0,286538	21,473047
1185,503586	-0,256807	21,549347
1188,920412	-0,226818	21,625593
1192,336354	-0,196567	21,701775
1195,753532	-0,16605	21,777885
1199,170638	-0,135265	21,853914
1202,588669	-0,104209	21,929857
1206,007473	-0,07288	22,005703
1209,425718	-0,041278	22,081446
1212,844414	-0,009403	22,157078
1216,263403	0,022747	22,232594
1219,683728	0,05517	22,307983
1223,104041	0,087866	22,383244
1226,524179	0,120834	22,458364
1229,945198	0,154074	22,533344
1233,366953	0,187585	22,608175
1236,788061	0,221364	22,68285
1240,210836	0,25541	22,757366
1243,632651	0,289721	22,831715
1247,055842	0,324296	22,905893
1250,479014	0,359131	22,979893
1250,581167	0,360172	22,982094
1251,184337	0,366344	22,995125
1251,788088	0,372527	23,008156
1252,393688	0,378724	23,021196
1252,998608	0,384936	23,034243
1253,604112	0,391161	23,047297
1253,902012	0,394226	23,053715
1254,21147	0,3974	23,060354
1254,818148	0,403653	23,073423
1255,425412	0,40992	23,086494
1256,034537	0,416201	23,099573
1256,64298	0,422498	23,112661
1257,252012	0,428806	23,125753
1257,327227	0,429577	23,12735
1257,862911	0,435129	23,138849
1258,473127	0,441467	23,151955
1259,083935	0,447819	23,165068
1259,695337	0,454183	23,178183
1260,308613	0,460564	23,191309
1260,750696	0,465183	23,200796
1260,921205	0,466957	23,204437
1261,534392	0,473365	23,217573
1262,149461	0,479788	23,230719
1262,763844	0,486224	23,243866
1263,378825	0,492675	23,257023
1263,995694	0,49914	23,270185
1264,176104	0,501039	23,274048
1264,611876	0,505618	23,28335
1265,228659	0,51211	23,296522
1265,847337	0,518619	23,309704
1266,465326	0,52514	23,322887
1267,083919	0,531678	23,336082
1267,602034	0,537145	23,347099
1267,704412	0,538227	23,349279
1268,324216	0,544791	23,362482
1268,944627	0,551371	23,375692
1269,565645	0,557964	23,388908
1270,188572	0,564572	23,402128
1270,810808	0,571195	23,415358
1271,027041	0,573496	23,41995
1271,433654	0,577832	23,428591
1272,058416	0,584483	23,441832
1272,682486	0,591148	23,455076
1273,307169	0,597828	23,468327
1273,933774	0,604521	23,481581
1274,453578	0,610091	23,492592
1274,559686	0,611232	23,494846
1275,186213	0,617954	23,508112
1275,814669	0,624693	23,521387
1276,442431	0,631445	23,534666
1277,070812	0,638211	23,547949
1277,699811	0,644993	23,561239
1277,880203	0,646926	23,565025
1278,330747	0,65179	23,574539
1278,960989	0,6586	23,587839
1279,591851	0,665426	23,601149
1280,224659	0,672265	23,61446
