wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,r0_reflectance_fraction,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps
1150.0,260.68909391304345,35.0,38.35222290717139,0.009814097430183926,0.001324945589266391,11.0,-0.6,-0.4
1150.0,260.68909391304345,36.0,39.01375857111241,0.008231528043597232,0.0009388824419013041,11.0,-0.6,-0.4
1150.0,260.68909391304345,37.0,39.67632225857683,0.006957634482206584,0.0010494636319097058,11.0,-0.6,-0.4
1150.0,260.68909391304345,38.0,40.33979739859669,0.0063641072577518614,0.0015456109573615436,11.0,-0.6,-0.4
1150.0,260.68909391304345,39.0,41.00406824975061,0.0037881635694918298,0.001756713272346839,11.0,-0.6,-0.4
1150.0,260.68909391304345,40.0,41.66901979554734,0.0033301334422230875,0.0018940403281148942,11.0,-0.6,-0.4
1150.0,260.68909391304345,41.0,42.33453764016517,0.003983146885441455,0.0011299405609531232,11.0,-0.6,-0.4
1150.0,260.68909391304345,42.0,43.000507904505824,0.0068196670965046755,0.0013198473167630677,11.0,-0.6,-0.4
1150.0,260.68909391304345,43.0,43.66681712251742,0.02201774607217466,0.0021374584886341198,11.0,-0.6,-0.4
1150.0,260.68909391304345,44.0,44.33335213773696,0.09208759501933823,0.0016443954288906726,11.0,-0.6,-0.4
1150.0,260.68909391304345,45.0,45.0,0.11472159029228303,0.001707892717818286,11.0,-0.6,-0.4
1150.0,260.68909391304345,46.0,45.66664786226304,0.13757558131479816,0.0015511760919602448,11.0,-0.6,-0.4
1150.0,260.68909391304345,47.0,46.33318287748258,0.15550330457168304,0.001387728498559693,11.0,-0.6,-0.4
1150.0,260.68909391304345,48.0,46.999492095494176,0.17698918074140887,0.0017008835393855905,11.0,-0.6,-0.4
1150.0,260.68909391304345,49.0,47.66546235983483,0.18884770687194272,0.0027345704526343597,11.0,-0.6,-0.4
1150.0,260.68909391304345,50.0,48.33098020445266,0.20690008636968724,0.0019187488861885757,11.0,-0.6,-0.4
