wavelength_nm,epsilon_real,epsilon_imag,epsilon_real_ref,epsilon_imag_ref
1441.256226,-1.212396,0.794466,-1.29602,0.454889
1444.702026,-1.233972,0.800069,-1.316798,0.45274
1448.14856,-1.255598,0.805698,-1.337565,0.450554
1451.595703,-1.277274,0.811354,-1.358322,0.448331
1455.043457,-1.298999,0.817037,-1.379067,0.446072
1458.491943,-1.320775,0.822747,-1.399801,0.443778
1461.941162,-1.3426,0.828483,-1.420522,0.441448
1465.390991,-1.364475,0.834247,-1.44123,0.439083
1468.841553,-1.386399,0.840037,-1.461925,0.436685
1472.292725,-1.408374,0.845855,-1.482607,0.434253
1475.744629,-1.430398,0.851699,-1.503274,0.431788
1479.197144,-1.452472,0.857571,-1.523926,0.42929
1482.650391,-1.474595,0.86347,-1.544564,0.426761
1486.104248,-1.496769,0.869396,-1.565186,0.4242
1489.558838,-1.518992,0.87535,-1.585792,0.421608
1493.014038,-1.541264,0.881331,-1.606382,0.418986
1496.469971,-1.563587,0.88734,-1.626955,0.416334
1499.926636,-1.585959,0.893376,-1.647512,0.413652
1503.383911,-1.60838,0.89944,-1.66805,0.410941
1506.841919,-1.630852,0.905532,-1.688572,0.408202
1510.300537,-1.653372,0.911651,-1.709074,0.405434
1513.759766,-1.675943,0.917799,-1.729559,0.402639
1517.219849,-1.698563,0.923974,-1.750025,0.399817
1520.68042,-1.721233,0.930177,-1.770472,0.396967
1524.141846,-1.743952,0.936408,-1.790899,0.394092
1527.60376,-1.766721,0.942668,-1.811306,0.39119
1531.066528,-1.789539,0.948955,-1.831694,0.388263
1534.529907,-1.812407,0.955271,-1.85206,0.38531
1537.993896,-1.835324,0.961615,-1.872406,0.382333
1541.458618,-1.85829,0.967987,-1.892731,0.379332
1544.924072,-1.881307,0.974388,-1.913035,0.376307
1548.390137,-1.904372,0.980817,-1.933317,0.373258
1551.856812,-1.927487,0.987274,-1.953577,0.370186
1555.324341,-1.950652,0.993761,-1.973815,0.367091
1558.792358,-1.973866,1.000276,-1.994031,0.363974
1562.26123,-1.997129,1.006819,-2.014224,0.360834
1565.730713,-2.020442,1.013392,-2.034394,0.357674
1569.200806,-2.043803,1.019993,-2.05454,0.354491
1572.671631,-2.067215,1.026624,-2.074664,0.351288
1576.143188,-2.090676,1.033283,-2.094764,0.348064
1579.615356,-2.114186,1.039971,-2.114839,0.34482
1583.088135,-2.137745,1.046689,-2.134891,0.341556
1586.561768,-2.161353,1.053435,-2.154918,0.338273
1590.035889,-2.185011,1.060211,-2.17492,0.33497
1593.510864,-2.208718,1.067017,-2.194898,0.331648
1596.986328,-2.232474,1.073851,-2.21485,0.328308
1600.462646,-2.256279,1.080715,-2.234778,0.324949
1603.939575,-2.280134,1.087608,-2.25468,0.321573
1607.417114,-2.304037,1.094531,-2.274556,0.318178
1610.895386,-2.32799,1.101484,-2.294407,0.314767
1614.37439,-2.351993,1.108467,-2.314231,0.311338
1617.854004,-2.376043,1.115479,-2.334029,0.307892
1621.334229,-2.400143,1.12252,-2.353801,0.30443
1624.815308,-2.424293,1.129592,-2.373547,0.300952
1628.296997,-2.448491,1.136694,-2.393265,0.297458
1631.779419,-2.472739,1.143826,-2.412957,0.293948
1635.262451,-2.497035,1.150988,-2.432622,0.290423
1638.746094,-2.52138,1.158179,-2.45226,0.286883
1642.230469,-2.545775,1.165401,-2.47187,0.283328
1645.715576,-2.570219,1.172654,-2.491453,0.279759
1649.201416,-2.594711,1.179937,-2.511008,0.276175
1652.687744,-2.619251,1.18725,-2.530535,0.272577
1656.174805,-2.643842,1.194593,-2.550034,0.268966
1659.66272,-2.668481,1.201967,-2.569506,0.265341
1663.151123,-2.693169,1.209372,-2.588949,0.261703
1666.640259,-2.717906,1.216807,-2.608363,0.258051
1670.130127,-2.742691,1.224273,-2.627749,0.254387
1673.620483,-2.767525,1.231769,-2.647106,0.250711
1677.111694,-2.792408,1.239297,-2.666435,0.247022
1680.60376,-2.817341,1.246855,-2.685736,0.243321
1684.096069,-2.842321,1.254444,-2.705007,0.239608
